wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
262,8.025,3.375,6.6,5.7250000000000005,5.525,4.925,4.5,4.074999999999999,3.8000000000000003,3.5749999999999997,1.975,1.5750000000000002,1.1500000000000001,1.0,0.95,0.9,0.8,1.0,15.675,21.0,98.8
263,8.174999999999999,3.45,6.7250000000000005,5.800000000000001,5.625,5.05,4.6,4.175,3.875,3.675,2.0749999999999997,1.675,1.25,1.1,1.025,0.975,0.875,1.0750000000000002,15.9,21.266666666666666,98.8
264,8.35,3.55,6.875,5.95,5.775,5.1499999999999995,4.7,4.275,3.975,3.7750000000000004,2.1750000000000003,1.8,1.35,1.2,1.125,1.0750000000000002,0.975,1.175,16.175,21.733333333333334,98.7
265,8.5,3.675,7.0,6.1,5.9,5.300000000000001,4.824999999999999,4.45,4.125,3.9,2.3249999999999997,1.9249999999999998,1.475,1.3,1.25,1.2,1.1,1.3,16.575,22.266666666666666,98.7
266,8.7,3.8,7.2,6.2250000000000005,6.075,5.45,5.0,4.574999999999999,4.25,4.025,2.475,2.0749999999999997,1.6,1.475,1.375,1.3250000000000002,1.2,1.4,16.975,22.766666666666666,98.7
267,8.9,3.9,7.300000000000001,6.35,6.2,5.574999999999999,5.1,4.675,4.35,4.125,2.5749999999999997,2.2,1.7,1.6,1.5,1.45,1.3,1.525,17.325,23.166666666666668,98.5
268,9.0,3.975,7.375,6.4,6.25,5.6499999999999995,5.1499999999999995,4.775,4.425000000000001,4.175,2.6500000000000004,2.3,1.8,1.675,1.6,1.5499999999999998,1.4,1.6500000000000001,17.525,23.433333333333334,98.5
269,9.025,4.0,7.45,6.475,6.300000000000001,5.7,5.2,4.824999999999999,4.45,4.2250000000000005,2.75,2.375,1.9,1.7,1.675,1.6500000000000001,1.5,1.7249999999999999,17.675,23.566666666666663,98.5
270,9.125,4.074999999999999,7.5,6.550000000000001,6.4,5.775,5.3,4.875,4.525,4.3,2.8000000000000003,2.45,1.975,1.8,1.775,1.75,1.6,1.8250000000000002,17.9,23.833333333333332,98.4
271,9.25,4.125,7.6,6.6499999999999995,6.475,5.85,5.324999999999999,4.95,4.6,4.35,2.875,2.55,2.0749999999999997,1.9,1.875,1.8250000000000002,1.7,1.9249999999999998,18.2,24.133333333333336,98.2
