wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
288,3.9,2.8,2.95,2.9,2.7,3.0,3.1,2.9,2.7800000000000002,2.675,2.5,2.75,2.7250000000000005,2.7,2.625,2.8249999999999997,23.02,20.599999999999998,26.625,21.3
289,3.9,2.8,3.0,2.9,2.7750000000000004,3.0,3.15,2.9,2.8,2.675,2.5,2.8,2.7250000000000005,2.8,2.625,2.85,23.04,20.666666666666668,26.75,21.3
290,3.9,2.9,3.0,2.925,2.8,3.0749999999999997,3.2,2.9,2.8,2.7,2.55,2.8,2.8,2.8,2.7,2.9,23.360000000000003,20.866666666666667,26.924999999999997,21.6
291,3.9,2.9,3.0749999999999997,3.0,2.8,3.1,3.2,2.9,2.8,2.7,2.6,2.8,2.8,2.8,2.7,2.9,23.4,20.900000000000002,27.099999999999998,21.6
292,3.9,2.9,3.0749999999999997,3.0,2.8249999999999997,3.1,3.2249999999999996,2.9,2.8,2.7,2.6,2.8,2.8,2.8,2.7,2.925,23.44,20.933333333333334,27.175,21.7
293,3.9,2.9,3.0749999999999997,3.0,2.85,3.1,3.25,2.9,2.8,2.7,2.6,2.8,2.8,2.8,2.7,2.925,23.5,20.933333333333334,27.224999999999998,21.7
294,3.8499999999999996,2.9,3.1,3.0749999999999997,2.9,3.1500000000000004,3.3,2.95,2.8,2.7,2.6,2.825,2.85,2.825,2.7250000000000005,3.0,23.62,21.166666666666668,27.475,21.8
295,3.9,3.0,3.2,3.1,2.9,3.2,3.3,2.95,2.8,2.7,2.6,2.9,2.875,2.9,2.8,3.0,23.8,21.233333333333334,27.575,21.9
296,3.9,3.0,3.2,3.1,2.9,3.2249999999999996,3.3499999999999996,2.975,2.8,2.7,2.6,2.9,2.9,2.9,2.8,3.0,23.8,21.3,27.75,22.2
297,3.9,3.025,3.2,3.125,2.95,3.2249999999999996,3.375,2.975,2.8,2.7,2.6,2.9,2.9,2.9,2.8,3.05,23.839999999999996,21.36666666666667,27.825000000000003,22.2
298,3.9,3.025,3.2,3.125,3.0,3.2249999999999996,3.4,3.0,2.8,2.7,2.6,2.9,2.9,2.9,2.8249999999999997,3.05,23.9,21.46666666666667,27.875,22.2
299,3.875,3.05,3.2,3.1500000000000004,3.0,3.2249999999999996,3.4250000000000003,3.0,2.8200000000000003,2.7,2.6,2.9,2.9,2.925,2.8249999999999997,3.05,23.9,21.46666666666667,27.85,22.2
300,3.875,3.1,3.2750000000000004,3.2,3.0,3.3,3.4250000000000003,3.0,2.8200000000000003,2.7,2.625,2.9,2.9,2.95,2.9,3.1,23.939999999999998,21.46666666666667,27.9,22.2
301,3.9,3.1,3.3,3.2250000000000005,3.05,3.325,3.5,3.0,2.86,2.75,2.7,2.9,3.0,3.0,2.925,3.1,24.02,21.53333333333333,27.950000000000003,22.3
302,3.9,3.1,3.3249999999999997,3.3,3.1,3.4,3.55,3.0749999999999997,2.9,2.8,2.7,3.0,3.0,3.0749999999999997,2.925,3.2,24.2,21.7,28.05,22.4
303,3.975,3.2,3.4,3.3249999999999997,3.175,3.4,3.6,3.1,2.9200000000000004,2.8,2.75,3.0,3.05,3.1,3.0,3.2250000000000005,24.32,21.833333333333332,28.175,22.5
304,4.0,3.25,3.425,3.375,3.2,3.45,3.625,3.125,2.96,2.9,2.8,3.1,3.1,3.125,3.025,3.3,24.4,21.833333333333332,28.275000000000002,22.5
305,4.025,3.3,3.5,3.425,3.25,3.525,3.7,3.2,3.02,2.9,2.8249999999999997,3.1,3.125,3.2,3.1,3.3249999999999997,24.6,21.96666666666667,28.525000000000002,22.8
306,4.1,3.4,3.6,3.5,3.3,3.625,3.7750000000000004,3.3,3.1,3.0,2.9,3.2,3.2,3.3,3.1500000000000004,3.425,24.880000000000003,22.166666666666668,28.825,22.9
307,4.2,3.5,3.6500000000000004,3.6,3.4,3.7249999999999996,3.9,3.325,3.2,3.0749999999999997,3.0,3.2750000000000004,3.3,3.375,3.2250000000000005,3.5,25.06,22.466666666666665,29.1,23.1
308,4.3,3.6,3.75,3.7,3.5,3.8,4.0,3.4,3.2399999999999998,3.125,3.05,3.3249999999999997,3.4,3.45,3.3249999999999997,3.5749999999999997,25.28,22.733333333333334,29.375,23.4
309,4.4,3.625,3.8249999999999997,3.7750000000000004,3.55,3.875,4.074999999999999,3.5,3.3200000000000003,3.2,3.1,3.4,3.5,3.525,3.4,3.6500000000000004,25.46,22.866666666666664,29.5,23.6
310,4.5,3.7,3.9,3.8249999999999997,3.625,3.9250000000000003,4.125,3.6,3.4,3.2750000000000004,3.2,3.5,3.5,3.6,3.45,3.7250000000000005,25.48,23.0,29.55,23.7
311,4.525,3.8,3.975,3.9,3.7,4.0,4.225,3.625,3.5,3.3,3.2250000000000005,3.525,3.6,3.675,3.525,3.8,25.48,23.03333333333333,29.599999999999998,23.7
312,4.6,3.875,4.05,3.975,3.7750000000000004,4.1,4.3,3.7,3.54,3.4,3.3,3.6,3.675,3.75,3.625,3.875,25.56,23.099999999999998,29.725,23.8
313,4.7250000000000005,3.975,4.1499999999999995,4.074999999999999,3.875,4.2,4.4,3.8,3.6399999999999997,3.5,3.4,3.7,3.7750000000000004,3.85,3.7,3.975,25.74,23.26666666666667,29.924999999999997,23.9
314,4.9,4.1,4.275,4.2250000000000005,3.975,4.325,4.55,3.975,3.8,3.6,3.525,3.8249999999999997,3.9,3.975,3.8249999999999997,4.125,26.0,23.566666666666663,30.25,24.2
315,5.0,4.2,4.375,4.3,4.074999999999999,4.425000000000001,4.625,4.05,3.9,3.7,3.6,3.9,4.0,4.074999999999999,3.9,4.2250000000000005,26.0,23.566666666666663,30.25,24.2
316,5.05,4.275,4.45,4.35,4.125,4.475,4.725,4.1,3.9400000000000004,3.8,3.7,4.0,4.025,4.125,3.975,4.275,25.98,23.466666666666665,30.174999999999997,24.1
317,5.175,4.375,4.574999999999999,4.475,4.25,4.6,4.825,4.275,4.1,3.9,3.8,4.1,4.125,4.2250000000000005,4.074999999999999,4.4,26.0,23.5,30.225,24.2
318,5.324999999999999,4.525,4.7,4.625,4.375,4.725,5.0,4.4,4.22,4.05,3.925,4.3,4.3,4.4,4.2250000000000005,4.525,26.2,23.733333333333334,30.55,24.4
319,5.5,4.7,4.85,4.775,4.525,4.9,5.15,4.6,4.4,4.2,4.074999999999999,4.4,4.425000000000001,4.55,4.375,4.7,26.459999999999997,23.966666666666665,30.724999999999998,24.6
320,5.6,4.8,4.975,4.875,4.625,5.025,5.3,4.7,4.5,4.3,4.2,4.525,4.574999999999999,4.675,4.5,4.824999999999999,26.459999999999997,24.0,30.775,24.7
321,5.824999999999999,4.975,5.175,5.05,4.775,5.2,5.5,4.9,4.7,4.475,4.375,4.7,4.7250000000000005,4.875,4.675,5.0,26.6,24.233333333333334,30.975,24.9
322,6.1,5.2,5.375,5.275,5.025,5.425000000000001,5.7,5.125,4.94,4.7,4.574999999999999,4.925000000000001,4.975,5.1,4.85,5.2,27.080000000000002,24.666666666666668,31.5,25.4
323,6.324999999999999,5.4,5.574999999999999,5.475,5.175,5.625,5.925000000000001,5.35,5.14,4.9,4.775,5.125,5.175,5.3,5.05,5.4,27.339999999999996,24.933333333333334,31.775,25.6
324,6.5,5.525,5.7250000000000005,5.624999999999999,5.3,5.725,6.025,5.5,5.28,5.0,4.875,5.275,5.3,5.45,5.175,5.550000000000001,27.26,24.900000000000002,31.725,25.6
325,6.6,5.6499999999999995,5.824999999999999,5.7250000000000005,5.425000000000001,5.825,6.15,5.6,5.4,5.125,5.025,5.4,5.4,5.550000000000001,5.300000000000001,5.675,27.2,24.86666666666667,31.65,25.6
326,6.7,5.775,5.975,5.875,5.550000000000001,5.975,6.325,5.8,5.6,5.275,5.175,5.525,5.550000000000001,5.7,5.425000000000001,5.824999999999999,27.2,24.833333333333332,31.65,25.5
