wavelength,blank,S8 Postheat,S8 Preheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15
351,98.1,44.04,30.6,16.8,15.925,16.075,15.775,14.275,14.175,13.84,12.35,12.675,12.25,10.675,10.35,10.625,11.15
352,98.1,44.1,30.7,16.96,16.15,16.35,16.075,14.575,14.525,14.18,12.65,13,12.55,10.925,10.625,10.85,11.45
353,98,44.18,30.8,17.16,16.325,16.55,16.325,14.775,14.825,14.4,12.9,13.225,12.75,11.1,10.9,11.1,11.725
354,98,44.24,30.825,17.28,16.45,16.825,16.575,15.1,15.075,14.74,13.15,13.55,13.125,11.4,11.075,11.35,11.9
355,97.9,44.28,30.975,17.46,16.65,17.025,16.825,15.375,15.325,15.06,13.425,13.9,13.325,11.625,11.35,11.525,12.15
356,97.7,44.24,31,17.54,16.8,17.025,16.95,15.425,15.5,15.2,13.525,13.95,13.5,11.7,11.425,11.65,12.225
357,97.9,44.28,30.9,17.54,16.8,17.1,17.05,15.525,15.525,15.32,13.775,14.075,13.6,11.8,11.5,11.775,12.3
358,97.4,44.22,31.05,17.66,17.05,17.25,17.325,15.775,15.925,15.66,14.05,14.425,13.85,12.1,11.85,12.025,12.6
359,97.4,44.42,31.35,17.98,17.4,17.675,17.7,16.075,16.325,16.02,14.2,14.8,14.2,12.4,12.075,12.35,12.9
360,97.4,44.48,31.225,18.1,17.45,17.75,17.75,16.25,16.525,16.24,14.425,14.925,14.4,12.575,12.2,12.5,13
361,97.3,44.08,30.975,17.98,17.475,17.75,17.75,16.25,16.5,16.22,14.45,14.925,14.4,12.55,12.2,12.45,13
362,97.3,43.9,30.7,17.94,17.45,17.775,17.725,16.25,16.5,16.26,14.475,14.9,14.425,12.625,12.25,12.5,13
363,97.3,43.8,30.725,18.02,17.575,17.95,17.775,16.25,16.6,16.5,14.7,15,14.575,12.75,12.35,12.525,13.15
364,97.3,43.84,30.775,18.3,17.85,18.125,18.025,16.525,16.95,16.78,15.025,15.45,14.975,12.95,12.625,12.775,13.45
365,97.6,44.06,30.875,18.58,18.025,18.375,18.35,16.9,17.35,17.08,15.375,15.775,15.2,13.325,12.9,13.025,13.725
366,97.7,44.16,30.95,18.72,18.25,18.65,18.65,17.075,17.55,17.34,15.65,16.025,15.475,13.525,13.15,13.3,13.925
367,97.7,44.26,31.075,18.82,18.45,18.9,18.9,17.325,17.775,17.66,15.9,16.25,15.725,13.8,13.375,13.525,14.15
368,97.8,44.48,31.2,19.1,18.65,19.2,19.175,17.65,18.075,17.98,16.125,16.5,16,14,13.625,13.75,14.375
369,97.8,44.6,31.425,19.34,18.95,19.45,19.425,17.9,18.4,18.24,16.45,16.875,16.3,14.3,13.9,14.05,14.65
370,97.8,44.66,31.55,19.5,19.125,19.625,19.625,18.175,18.675,18.48,16.65,17.1,16.5,14.525,14.1,14.25,14.825
371,97.8,44.68,31.575,19.64,19.275,19.8,19.85,18.375,18.9,18.68,16.8,17.3,16.7,14.7,14.275,14.45,14.975
372,97.8,44.8,31.65,19.76,19.5,19.925,20.05,18.575,19.125,18.9,17.075,17.5,16.925,14.925,14.475,14.65,15.2
373,97.8,44.88,31.725,19.96,19.8,20.15,20.325,18.825,19.4,19.18,17.35,17.8,17.2,15.2,14.675,14.925,15.425
374,97.7,44.96,31.8,20.1,20.05,20.375,20.625,19.125,19.6,19.48,17.575,18.1,17.375,15.4,14.9,15.15,15.675
375,97.7,45.06,31.9,20.22,20.125,20.45,20.75,19.3,19.75,19.62,17.725,18.2,17.625,15.625,15.075,15.35,15.825
376,97.8,44.98,31.75,20.22,20.125,20.475,20.75,19.275,19.825,19.64,17.75,18.35,17.65,15.625,15.125,15.35,15.825
377,97.8,44.78,31.525,20.22,20.075,20.45,20.725,19.25,19.8,19.64,17.75,18.375,17.625,15.575,15.1,15.35,15.825
378,97.8,44.52,31.4,20.22,20.075,20.425,20.725,19.25,19.8,19.64,17.775,18.375,17.675,15.625,15.1,15.325,15.85
379,97.7,44.46,31.375,20.24,20.175,20.525,20.725,19.325,19.9,19.78,17.95,18.475,17.75,15.75,15.25,15.4,15.95
380,97.7,44.5,31.375,20.4,20.375,20.725,21.025,19.575,20.175,20.08,18.2,18.7,18.075,16,15.475,15.725,16.225
381,97.8,44.7,31.5,20.66,20.65,20.95,21.325,19.85,20.5,20.36,18.5,19,18.325,16.3,15.725,15.95,16.45
382,97.8,44.7,31.55,20.74,20.85,21.1,21.5,20.05,20.725,20.56,18.675,19.225,18.475,16.475,15.925,16.125,16.6
383,97.9,44.72,31.525,20.78,20.9,21.15,21.575,20.125,20.775,20.68,18.7,19.325,18.625,16.525,16.05,16.2,16.65
384,97.9,44.74,31.525,20.86,20.95,21.25,21.625,20.25,20.9,20.78,18.875,19.45,18.75,16.675,16.15,16.3,16.85
