wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
759,52.550000000000004,50.724999999999994,54.25,53.23333333333333,55.55,50.68
760,52.525,50.724999999999994,54.275000000000006,53.26666666666667,55.55,50.86
761,52.625,50.824999999999996,54.275000000000006,53.26666666666667,55.599999999999994,50.96
762,52.675,50.875,54.3,53.300000000000004,55.599999999999994,50.980000000000004
763,52.9,50.975,54.425,53.36666666666667,55.800000000000004,51.059999999999995
764,53.025000000000006,51.074999999999996,54.45,53.6,55.949999999999996,51.16
765,53.025000000000006,51.099999999999994,54.4,53.666666666666664,55.925,51.12
766,52.95,51.175,54.275,53.53333333333333,55.875,51.04
767,52.875,51.150000000000006,54.55,53.46666666666667,55.824999999999996,51.080000000000005
768,52.7,51.150000000000006,54.675,53.36666666666667,55.875,51.1
769,52.75,51.074999999999996,54.7,53.36666666666667,55.775,51.14
770,52.72500000000001,51.150000000000006,54.675,53.5,55.775,51.080000000000005
771,52.775000000000006,51.1,54.7,53.46666666666667,55.800000000000004,51.1
772,52.95,51.125,54.75,53.46666666666667,55.849999999999994,51.120000000000005
773,53.05,51.074999999999996,54.825,53.53333333333333,55.849999999999994,51.239999999999995
774,53.1,51.099999999999994,54.849999999999994,53.5,55.975,51.279999999999994
775,53.125,51.1,54.775,53.4,55.975,51.24000000000001
776,53.074999999999996,51.15,54.75,53.43333333333334,56.050000000000004,51.220000000000006
777,53.050000000000004,51.175,54.775,53.56666666666666,56.075,51.220000000000006
778,53.074999999999996,51.175,54.775,53.6,56.050000000000004,51.34000000000001
779,53.175,51.27499999999999,54.75,53.73333333333333,56.14999999999999,51.44
780,53.175,51.25,54.75,53.63333333333333,56.1,51.42
781,53.175,51.375,55.0,53.76666666666667,56.2,51.44
782,53.099999999999994,51.375,55.0,53.76666666666667,56.2,51.38000000000001
783,53.14999999999999,51.425000000000004,55.125,53.800000000000004,56.125,51.32000000000001
784,53.25,51.425000000000004,55.1,53.73333333333333,56.125,51.32000000000001
785,53.3,51.575,55.125,53.833333333333336,56.175,51.28000000000001
786,53.324999999999996,51.525,55.15,53.9,56.325,51.4
787,53.375,51.6,55.400000000000006,53.93333333333334,56.474999999999994,51.52
788,53.5,51.7,55.55,54.199999999999996,56.55,51.6
789,53.625,51.875,55.9,54.300000000000004,56.675000000000004,51.61999999999999
790,53.625,52.0,56.0,54.300000000000004,56.75,51.720000000000006
791,53.575,52.2,56.199999999999996,54.300000000000004,56.75,51.8
792,53.55,52.325,56.35000000000001,54.300000000000004,56.775,51.839999999999996
793,53.525,52.35000000000001,56.50000000000001,54.199999999999996,56.775,51.94
794,53.525,52.325,56.575,54.133333333333326,56.75,51.9
795,53.425,52.35000000000001,56.575,54.133333333333326,56.75,51.86
796,53.425,52.325,56.37500000000001,54.1,56.75,51.839999999999996
797,53.425,52.275000000000006,56.125,54.1,56.75,51.760000000000005
798,53.45,52.275000000000006,56.025,54.1,56.775,51.7
799,53.5,52.2,55.824999999999996,54.166666666666664,56.824999999999996,51.760000000000005
800,53.550000000000004,52.224999999999994,55.7,54.300000000000004,56.875,51.8
801,53.675,52.25,55.675,54.333333333333336,56.95,51.82000000000001
802,53.85,52.275000000000006,55.725,54.633333333333326,57.1,51.86
803,53.949999999999996,52.375,55.725,54.73333333333333,57.150000000000006,51.98
804,54.150000000000006,52.525000000000006,55.675,54.86666666666667,57.349999999999994,52.14000000000001
805,54.25,52.525000000000006,55.7,55.03333333333333,57.400000000000006,52.220000000000006
806,54.35,52.599999999999994,55.75,55.199999999999996,57.45,52.339999999999996
