Wavelength,PreheatTrans,PostheatTrans,Irrad1Trans,Irrad2Trans,Irrad3Trans,Irrad4Trans,Irrad5Trans,Irrad6Trans,Irrad7Trans,Irrad8Trans,Irrad9Trans,Irrad10Trans,Irrad11Trans,Irrad12Trans,Irrad13Trans,Irrad14Trans,Irrad15Trans
854,60.93,57.08,52.26,52.26,54.5,54.85,54.4,54.05,53.42,52.1,52.1,52.675,52.78,51.55,49.38,51.2,51.05
855,61.05,57.1,52.32,52.32,54.5,54.8,54.38,54.1,53.5,52.15,52.15,53.125,52.68,51.58,49.38,51.38,51.13
856,61.1,57.28,52.3,52.3,54.55,54.88,54.33,54.3,53.58,52.18,52.18,53.225,52.73,51.7,49.65,51.38,51.08
857,61.18,57.25,52.28,52.28,54.68,54.9,54.33,54.35,53.58,52.23,52.23,53.45,52.75,51.65,49.65,51.38,51.15
858,61.3,57.4,52.32,52.32,54.68,54.95,54.35,54.45,53.7,52.23,52.23,53.575,52.98,51.63,49.75,51.35,51.15
859,61.35,57.38,52.4,52.4,54.65,55.08,54.38,54.45,53.8,52.33,52.33,53.6,52.98,51.75,49.78,51.4,51.28
860,61.55,57.33,52.42,52.42,54.74,55.05,54.6,54.45,53.96,52.38,52.38,53.5,53.08,51.83,49.78,51.55,51.33
861,61.45,57.43,52.44,52.44,54.75,55.08,54.85,54.475,54,52.4,52.4,53.525,53.23,51.9,50.03,51.7,51.58
862,61.48,57.45,52.48,52.48,54.8,55.13,55,54.6,53.96,52.48,52.48,53.55,53.28,52.03,50.1,51.75,51.55
863,61.58,57.48,52.6,52.6,55,55.18,55.1,54.575,53.98,52.65,52.65,53.6,53.48,52.1,50.18,51.73,51.58
864,61.6,57.5,52.76,52.76,55.08,55.2,55.08,54.85,54.02,52.68,52.68,53.85,53.68,52.08,50.13,51.8,51.65
865,61.65,57.5,52.78,52.78,55.15,55.33,55.08,54.85,54.02,52.7,52.7,53.925,53.68,52.08,50.13,51.88,51.85
866,61.75,57.53,52.8,52.8,55.08,55.23,55.05,54.875,54.1,52.7,52.7,53.9,53.7,52.2,50.18,52.08,51.98
867,61.75,57.6,52.88,52.88,55.08,55.23,55.13,55,54.18,52.83,52.83,53.95,53.7,52.3,50.23,52.1,52
868,61.75,57.65,52.88,52.88,55.13,55.33,55.13,55.075,54.24,52.93,52.93,54.075,53.73,52.33,50.35,52.1,52
869,61.78,57.68,52.92,52.92,55.25,55.48,55.08,55.1,54.32,53.05,53.05,54.15,53.8,52.43,50.35,52.1,52
870,61.93,57.68,52.94,52.94,55.53,55.45,55.08,55.175,54.38,53.05,53.05,54.15,53.9,52.45,50.45,52.1,52.08
871,61.93,57.75,53,53,55.63,55.43,55.23,55.2,54.42,53.23,53.23,54.3,53.93,52.5,50.63,52.13,52.1
872,61.93,57.75,53.02,53.02,55.7,55.5,55.25,55.3,54.5,53.3,53.3,54.35,53.95,52.55,50.65,52.15,52.13
873,61.95,57.85,53.24,53.24,55.73,55.6,55.4,55.4,54.64,53.43,53.43,54.475,53.95,52.68,50.75,52.4,52.25
874,62.05,57.88,53.3,53.3,55.73,55.65,55.43,55.4,54.66,53.43,53.43,54.475,54,52.65,50.75,52.48,52.3
875,62.23,57.93,53.32,53.32,55.73,55.8,55.43,55.475,54.8,53.45,53.45,54.55,54,52.68,50.83,52.55,52.35
876,62.28,58,53.38,53.38,55.78,55.9,55.6,55.55,54.86,53.48,53.48,54.7,54.08,52.75,50.85,52.58,52.58
877,62.45,58.13,53.42,53.42,55.88,55.95,55.68,55.725,54.9,53.63,53.63,54.7,54.23,52.93,50.9,52.68,52.55
878,62.58,58.18,53.44,53.44,55.95,55.95,55.68,55.8,55.02,53.73,53.73,54.75,54.33,53.23,50.93,52.75,52.65
879,62.65,58.28,53.52,53.52,56.23,56.13,55.78,55.9,55.1,53.78,53.78,54.85,54.48,53.3,51.15,52.85,52.8
880,62.75,58.5,53.74,53.74,56.3,56.28,56.05,56.125,55.36,53.83,53.83,55.15,54.68,53.33,51.23,53.03,52.93
881,63.05,59.05,54.22,54.22,56.7,56.65,56.38,56.4,55.82,54.08,54.08,55.425,55.15,53.53,51.43,53.43,53.25
882,63.15,59.65,54.86,54.86,56.93,57.25,56.75,56.6,56.44,54.18,54.18,55.9,55.6,53.6,51.5,54.05,53.4
883,62.38,59.73,54.96,54.96,56.83,57.1,56.68,56.65,56.56,54.15,54.15,55.975,55.65,53.78,51.6,54.1,53.48
884,62.48,59.43,55.06,55.06,56.68,57,56.63,56.75,55.92,54.33,54.33,56.05,55.6,53.88,51.6,54.13,53.48
885,62.53,59.18,55.08,55.08,56.73,56.78,56.6,56.575,55.76,54.23,54.23,55.475,55.5,53.8,51.7,53.95,53.5
886,62.58,59.08,55.04,55.04,56.6,56.7,56.45,56.6,55.6,54.48,54.48,55.425,55.2,53.8,51.68,53.85,53.3
887,63.15,58.85,54.62,54.62,56.63,56.4,56.18,56.675,55.5,54.6,54.6,55.325,54.95,53.78,51.65,53.68,53.33
888,63.93,58.6,54.54,54.54,56.63,56.38,56.18,56.775,55.46,54.75,54.75,55.375,54.75,53.88,51.8,53.73,53.3
889,63.98,58.63,54.54,54.54,56.63,56.4,56.2,56.8,55.52,54.85,54.85,55.375,54.73,53.98,51.83,53.9,53.33
890,63.98,58.53,54.52,54.52,56.6,56.48,56.28,56.75,55.5,54.88,54.88,55.4,54.75,53.98,51.8,53.85,53.43
891,63.9,58.55,54.5,54.5,56.65,56.53,56.3,56.75,55.62,54.85,54.85,55.45,55.03,54.03,51.9,53.88,53.45
892,63.93,58.58,54.52,54.52,56.78,56.63,56.35,56.75,55.74,54.88,54.88,55.55,55.1,54.08,51.88,53.88,53.48
893,63.88,58.63,54.52,54.52,56.8,56.78,56.45,56.825,55.78,54.93,54.93,55.6,55.13,54.13,51.9,53.9,53.5
894,63.85,58.65,54.6,54.6,56.85,56.8,56.53,56.875,55.92,54.95,54.95,55.65,55.18,54.13,52.03,53.93,53.55
895,63.8,58.9,54.8,54.8,57.05,56.9,56.75,56.9,56.08,54.98,54.98,55.75,55.45,54.25,52.05,54.03,53.7
896,63.83,58.95,54.88,54.88,57.1,56.95,56.78,57,56.36,54.95,54.95,55.925,55.7,54.28,52.1,54.15,53.63
897,63.7,58.93,54.88,54.88,57.33,57.03,56.78,56.975,56.46,54.95,54.95,56.175,55.78,54.45,52.13,54.1,53.73
898,63.68,59,54.86,54.86,57.28,57.13,57.1,56.95,56.42,54.9,54.9,56.125,55.78,54.45,52.08,54.05,53.8
899,63.68,58.93,54.92,54.92,57.28,57.03,57.03,57.025,56.2,54.95,54.95,56.125,55.68,54.48,52.18,54.15,53.78
900,63.73,58.7,54.64,54.64,57.18,56.9,56.9,57.025,56.08,55.1,55.1,55.975,55.65,54.5,52.3,54.2,53.78
901,64.08,58.63,54.62,54.62,57.08,56.93,56.95,57.025,56.02,55.35,55.35,55.975,55.53,54.5,52.33,54.33,53.8
902,64.25,58.65,54.72,54.72,57.2,57.05,56.98,57.1,56.1,55.48,55.48,56.075,55.53,54.53,52.35,54.38,53.8
903,64.3,58.68,54.82,54.82,57.23,57.1,57,57.175,56.12,55.55,55.55,56.15,55.6,54.53,52.33,54.4,53.8
904,64.33,58.83,55.02,55.02,57.33,57.33,57.2,57.3,56.32,55.53,55.53,56.175,55.78,54.55,52.3,54.48,53.85
