wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10
302,98.1,26,20.25,9.175,7.425,6.4,6.25,5.6,5.025,4.625,4.225,4,3.825
303,98.1,26.03333333,20.325,9.175,7.4,6.4,6.25,5.65,5.1,4.65,4.25,4.025,3.85
304,98.1,26.13333333,20.4,9.2,7.475,6.425,6.3,5.65,5.1,4.675,4.325,4.1,3.875
305,98,26.33333333,20.55,9.3,7.475,6.525,6.4,5.75,5.2,4.75,4.4,4.15,3.925
306,98,26.53333333,20.75,9.425,7.6,6.6,6.475,5.85,5.3,4.85,4.45,4.2,4
307,98,26.6,21.025,9.525,7.7,6.7,6.6,5.95,5.325,4.925,4.55,4.275,4.1
308,98,26.93333333,21.125,9.6,7.8,6.8,6.675,6.025,5.425,5.025,4.625,4.375,4.2
309,98.1,27,21.225,9.65,7.85,6.825,6.725,6.1,5.5,5.075,4.7,4.45,4.25
310,98.1,27,21.3,9.65,7.875,6.875,6.775,6.15,5.575,5.1,4.75,4.475,4.3
311,98.2,27.03333333,21.325,9.675,7.9,6.95,6.825,6.225,5.625,5.175,4.825,4.55,4.35
312,98.2,27.06666667,21.4,9.75,7.95,7,6.925,6.3,5.725,5.25,4.875,4.65,4.45
313,98.1,27.23333333,21.6,9.85,8.125,7.1,7.05,6.425,5.825,5.375,5,4.75,4.55
314,98.1,27.33333333,21.75,9.95,8.225,7.225,7.175,6.55,5.925,5.5,5.125,4.85,4.675
315,98,27.23333333,21.675,9.95,8.2,7.25,7.2,6.575,6.025,5.55,5.175,4.9,4.75
316,98,27.16666667,21.625,9.95,8.225,7.275,7.25,6.625,6.025,5.6,5.25,4.975,4.8
317,97.9,27.23333333,21.725,10.05,8.325,7.4,7.425,6.8,6.225,5.75,5.375,5.125,4.95
318,97.9,27.5,22,10.175,8.5,7.575,7.575,6.975,6.4,5.95,5.525,5.275,5.125
319,97.9,27.6,22.05,10.275,8.6,7.65,7.7,7.1,6.525,6.05,5.65,5.425,5.25
320,97.9,27.6,22.075,10.35,8.75,7.75,7.85,7.225,6.675,6.2,5.8,5.55,5.375
321,97.9,27.93333333,22.4,10.6,8.95,7.975,8.05,7.45,6.9,6.425,6,5.75,5.6
322,98,28.33333333,22.85,10.825,9.15,8.25,8.3,7.725,7.125,6.7,6.25,5.975,5.85
323,98,28.43333333,22.95,10.95,9.25,8.35,8.45,7.875,7.325,6.85,6.425,6.125,6
324,98,28.3,22.775,10.95,9.3,8.35,8.525,7.95,7.4,6.9,6.475,6.225,6.075
325,98,28.2,22.65,10.925,9.35,8.45,8.55,8.025,7.5,7,6.575,6.3,6.2
326,98.1,28.1,22.625,10.95,9.45,8.55,8.675,8.15,7.625,7.125,6.725,6.475,6.35
327,98.1,28.1,22.7,11.1,9.55,8.65,8.9,8.35,7.825,7.325,6.9,6.65,6.5
328,98,28.2,22.9,11.25,9.75,8.85,9.1,8.55,8.025,7.525,7.125,6.85,6.75
329,98,28.4,23.175,11.425,9.95,9.05,9.35,8.8,8.25,7.775,7.35,7.1,7
330,98,28.7,23.45,11.65,10.15,9.25,9.55,9.05,8.525,8.025,7.6,7.325,7.225
331,98,28.9,23.625,11.825,10.35,9.45,9.75,9.25,8.75,8.25,7.825,7.575,7.475
332,98,28.93333333,23.625,11.925,10.475,9.575,9.95,9.45,8.925,8.425,8,7.725,7.625
333,98,28.83333333,23.6,12,10.55,9.7,10.05,9.55,9.025,8.55,8.125,7.875,7.775
334,97.9,28.83333333,23.575,12.025,10.65,9.85,10.2,9.725,9.2,8.7,8.3,8.025,7.925
335,98,28.86666667,23.725,12.2,10.825,10,10.4,9.95,9.425,8.925,8.5,8.275,8.175
336,98,29.03333333,23.9,12.4,11.025,10.175,10.625,10.15,9.65,9.15,8.75,8.5,8.425
337,98.1,29.1,23.975,12.55,11.2,10.35,10.825,10.35,9.85,9.35,8.95,8.725,8.625
338,98.1,29.13333333,24.025,12.65,11.325,10.55,11,10.55,10.05,9.575,9.15,8.925,8.85
339,98.1,29.26666667,24.15,12.825,11.525,10.75,11.225,10.825,10.3,9.825,9.4,9.15,9.1
340,98.1,29.5,24.35,13.025,11.725,10.975,11.475,11.05,10.575,10.1,9.65,9.425,9.375
341,98.1,29.73333333,24.625,13.275,12,11.225,11.725,11.35,10.875,10.375,9.95,9.725,9.675
342,98.1,29.86666667,24.825,13.475,12.225,11.425,12,11.575,11.175,10.65,10.25,10,9.925
343,98,29.86666667,24.725,13.55,12.3,11.55,12.125,11.75,11.3,10.85,10.375,10.15,10.125
344,98,29.6,24.575,13.55,12.325,11.575,12.175,11.775,11.375,10.925,10.45,10.275,10.225
345,97.9,29.4,24.45,13.55,12.325,11.65,12.2,11.875,11.45,10.975,10.525,10.325,10.3
346,97.9,29.43333333,24.475,13.7,12.525,11.8,12.425,12.125,11.65,11.175,10.75,10.625,10.575
347,97.9,29.7,24.7,13.925,12.775,12.075,12.7,12.425,11.95,11.525,11.075,10.9,10.85
348,97.9,29.83333333,24.875,14.125,13.025,12.3,13,12.65,12.25,11.8,11.35,11.15,11.125
349,97.9,29.9,24.975,14.325,13.2,12.525,13.225,12.9,12.5,12.05,11.625,11.425,11.4
350,97.8,30.03333333,25.25,14.525,13.425,12.75,13.475,13.15,12.725,12.3,11.85,11.65,11.65
351,97.9,30.36666667,25.3,14.725,13.65,12.95,13.75,13.425,13.025,12.55,12.15,11.95,11.925
352,97.9,30.4,25.35,14.9,13.8,13.2,13.975,13.6,13.225,12.8,12.35,12.2,12.2
353,97.9,30.46666667,25.375,15.025,13.925,13.45,14.1,13.825,13.475,13,12.55,12.4,12.375
354,97.9,30.53333333,25.525,15.2,14.2,13.55,14.35,14,13.65,13.225,12.8,12.65,12.6
355,97.4,30.5,25.5,15.3,14.275,13.6,14.5,14.2,13.8,13.475,13,12.75,12.7
356,97.4,30.43333333,25.45,15.3,14.3,13.75,14.5,14.225,13.9,13.475,13,12.775,12.775
357,97.4,30.43333333,25.4,15.325,14.4,13.8,14.55,14.3,13.975,13.55,13.1,12.925,12.875
358,97.4,30.53333333,25.525,15.6,14.6,14,14.85,14.675,14.3,13.875,13.375,13.225,13.325
359,97.5,30.6,25.7,15.75,14.85,14.15,15.025,14.825,14.5,14.1,13.575,13.5,13.6
360,97.4,30.3,25.35,15.75,14.75,14.175,15.05,14.825,14.525,14.075,13.575,13.5,13.525
361,97.4,29.83333333,24.7,15.55,14.575,14.125,15,14.75,14.325,13.875,13.475,13.35,13.4
362,97.4,29.63333333,24.6,15.4,14.6,14.125,14.95,14.725,14.325,13.875,13.45,13.35,13.375
363,97.4,29.63333333,24.65,15.525,14.725,14.325,15.15,14.925,14.575,14,13.65,13.575,13.525
364,97.3,29.7,24.875,15.825,15,14.525,15.425,15.175,14.9,14.275,13.9,13.85,13.85
