S8 Irrad 1,,
S8 Irrad 1 1,"Date : 22/07/2021, 12:14:01",
Wavelength (nm),ABS,%T
927.00,0.252,55.9
928.00,0.252,55.9
929.00,0.252,56
930.00,0.252,56
931.00,0.252,56
932.00,0.252,56
933.00,0.252,56
934.00,0.251,56.1
935.00,0.251,56.1
936.00,0.249,56.3
937.00,0.249,56.3
938.00,0.249,56.3
939.00,0.249,56.3
940.00,0.249,56.4
941.00,0.249,56.4
942.00,0.249,56.4
943.00,0.249,56.4
944.00,0.248,56.4
945.00,0.248,56.5
946.00,0.248,56.5
947.00,0.248,56.5
948.00,0.248,56.5
949.00,0.246,56.8
950.00,0.253,55.9
951.00,0.261,54.8
952.00,0.262,54.7
953.00,0.263,54.6
954.00,0.264,54.4
955.00,0.266,54.2
956.00,0.27,53.7
957.00,0.272,53.4
958.00,0.274,53.2
959.00,0.277,52.8
960.00,0.278,52.7
961.00,0.279,52.6
962.00,0.28,52.5
963.00,0.281,52.4
964.00,0.283,52.2
965.00,0.284,52
966.00,0.285,51.9
967.00,0.286,51.8
968.00,0.287,51.7
969.00,0.291,51.2
970.00,0.293,50.9
971.00,0.294,50.8
972.00,0.296,50.5
973.00,0.294,50.8
974.00,0.293,51
975.00,0.29,51.3
976.00,0.289,51.4
977.00,0.289,51.5
978.00,0.288,51.5
979.00,0.288,51.5
980.00,0.279,52.6
981.00,0.274,53.2
982.00,0.271,53.6
983.00,0.268,54
984.00,0.262,54.7
985.00,0.26,55
986.00,0.264,54.5
987.00,0.27,53.7
988.00,0.278,52.7
989.00,0.283,52.1
990.00,0.284,52
991.00,0.283,52.1
992.00,0.281,52.3
993.00,0.275,53.1
994.00,0.27,53.7
995.00,0.262,54.7
996.00,0.251,56.1
997.00,0.25,56.3
998.00,0.25,56.2
999.00,0.256,55.5
"1,000.00",0.258,55.2
"1,001.00",0.26,54.9
"1,002.00",0.261,54.8
"1,003.00",0.264,54.4
"1,004.00",0.267,54.1
"1,005.00",0.267,54.1
"1,006.00",0.267,54.1
"1,007.00",0.267,54.1
"1,008.00",0.267,54
"1,009.00",0.267,54.1
"1,010.00",0.268,54
"1,011.00",0.268,53.9
"1,012.00",0.268,53.9
"1,013.00",0.266,54.2
"1,014.00",0.266,54.2
"1,015.00",0.263,54.6
"1,016.00",0.261,54.8
"1,017.00",0.263,54.6
"1,018.00",0.263,54.6
"1,019.00",0.263,54.5
"1,020.00",0.264,54.5
"1,021.00",0.267,54.1
"1,022.00",0.268,54
"1,023.00",0.27,53.7
"1,024.00",0.271,53.5
"1,025.00",0.273,53.3
"1,026.00",0.274,53.2
"1,027.00",0.275,53.1
"1,028.00",0.275,53.1
"1,029.00",0.278,52.7
"1,030.00",0.279,52.6
"1,031.00",0.28,52.5
"1,032.00",0.28,52.5
"1,033.00",0.282,52.2
"1,034.00",0.283,52.1
"1,035.00",0.283,52.1
"1,036.00",0.284,52
"1,037.00",0.286,51.7
"1,038.00",0.288,51.5
"1,039.00",0.291,51.1
"1,040.00",0.294,50.8
"1,041.00",0.294,50.8
"1,042.00",0.293,50.9
"1,043.00",0.294,50.8
"1,044.00",0.294,50.8
"1,045.00",0.295,50.7
"1,046.00",0.295,50.7
"1,047.00",0.295,50.7
"1,048.00",0.296,50.6
"1,049.00",0.296,50.6
"1,050.00",0.297,50.5
"1,051.00",0.297,50.5
"1,052.00",0.297,50.5
"1,053.00",0.297,50.4
"1,054.00",0.297,50.4
"1,055.00",0.298,50.3
"1,056.00",0.299,50.3
"1,057.00",0.304,49.7
"1,058.00",0.308,49.3
"1,059.00",0.314,48.6
"1,060.00",0.324,47.4
"1,061.00",0.325,47.3
"1,062.00",0.325,47.3
"1,063.00",0.325,47.3
"1,064.00",0.325,47.3
"1,065.00",0.325,47.3
"1,066.00",0.325,47.4
"1,067.00",0.325,47.3
"1,068.00",0.326,47.2
"1,069.00",0.327,47.1
"1,070.00",0.327,47.1
"1,071.00",0.334,46.3
"1,072.00",0.334,46.3
"1,073.00",0.335,46.3
"1,074.00",0.335,46.2
"1,075.00",0.336,46.1
"1,076.00",0.337,46
"1,077.00",0.338,45.9
"1,078.00",0.34,45.7
"1,079.00",0.34,45.7
"1,080.00",0.335,46.2
"1,081.00",0.335,46.3
"1,082.00",0.335,46.2
"1,083.00",0.337,46.1
"1,084.00",0.34,45.7
"1,085.00",0.34,45.7
"1,086.00",0.34,45.7
"1,087.00",0.34,45.7
"1,088.00",0.342,45.5
"1,089.00",0.343,45.4
"1,090.00",0.344,45.3
"1,091.00",0.344,45.2
"1,092.00",0.348,44.9
"1,093.00",0.348,44.9
"1,094.00",0.348,44.9
"1,095.00",0.349,44.7
"1,096.00",0.35,44.7
"1,097.00",0.35,44.7
"1,098.00",0.356,44.1
"1,099.00",0.36,43.6
"1,100.00",0.222,60
,,
,,
S8 Irrad 1,,
S8 Irrad 1 2,"Date : 22/07/2021, 12:15:14",
Wavelength (nm),ABS,%T
190.00,2.124,0.8
191.00,2.189,0.6
192.00,2.239,0.6
193.00,2.263,0.5
194.00,2.322,0.5
195.00,2.346,0.5
196.00,2.375,0.4
197.00,2.396,0.4
198.00,2.462,0.3
199.00,2.479,0.3
200.00,2.48,0.3
201.00,2.482,0.3
202.00,2.501,0.3
203.00,2.544,0.3
204.00,2.559,0.3
205.00,2.579,0.3
206.00,2.58,0.3
207.00,2.592,0.3
208.00,2.611,0.2
209.00,2.608,0.2
210.00,2.609,0.2
211.00,2.61,0.2
212.00,2.61,0.2
213.00,2.61,0.2
214.00,2.596,0.3
215.00,2.75,0.2
216.00,3,0.1
217.00,3,0.1
218.00,3,0
219.00,3,0
220.00,3,0
221.00,3,0
222.00,3,0
223.00,2.494,0.3
224.00,2.227,0.6
225.00,2.097,0.8
226.00,2.003,1
227.00,1.926,1.2
228.00,1.866,1.4
229.00,1.823,1.5
230.00,1.784,1.6
231.00,1.747,1.8
232.00,1.707,2
233.00,1.668,2.1
234.00,1.634,2.3
235.00,1.602,2.5
236.00,1.578,2.6
237.00,1.555,2.8
238.00,1.536,2.9
239.00,1.514,3.1
240.00,1.493,3.2
241.00,1.472,3.4
242.00,1.451,3.5
243.00,1.436,3.7
244.00,1.419,3.8
245.00,1.397,4
246.00,1.369,4.3
247.00,1.34,4.6
248.00,1.321,4.8
249.00,1.299,5
250.00,1.278,5.3
251.00,1.253,5.6
252.00,1.225,6
253.00,1.199,6.3
254.00,1.176,6.7
255.00,1.155,7
256.00,1.135,7.3
257.00,1.113,7.7
258.00,1.091,8.1
259.00,1.069,8.5
260.00,1.05,8.9
261.00,1.039,9.1
262.00,1.033,9.3
263.00,1.023,9.5
264.00,1.014,9.7
265.00,1.006,9.9
266.00,0.998,10.1
267.00,0.99,10.2
268.00,0.985,10.3
269.00,0.982,10.4
270.00,0.978,10.5
271.00,0.973,10.6
272.00,0.971,10.7
273.00,0.972,10.7
274.00,0.973,10.6
275.00,0.97,10.7
276.00,0.97,10.7
277.00,0.97,10.7
278.00,0.97,10.7
279.00,0.97,10.7
280.00,0.97,10.7
281.00,0.971,10.7
282.00,0.971,10.7
283.00,0.972,10.7
284.00,0.972,10.7
285.00,0.973,10.7
286.00,0.973,10.7
287.00,0.974,10.6
288.00,0.975,10.6
289.00,0.975,10.6
290.00,0.975,10.6
291.00,0.975,10.6
292.00,0.977,10.5
293.00,0.978,10.5
294.00,0.979,10.5
295.00,0.976,10.6
296.00,0.976,10.6
297.00,0.976,10.6
298.00,0.977,10.6
299.00,0.98,10.5
300.00,0.98,10.5
301.00,0.98,10.5
302.00,0.979,10.5
303.00,0.979,10.5
304.00,0.979,10.5
