wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
481,0.495,0.53025,0.5385,0.54225,0.555,0.559,0.5437500000000001,0.5,0.5124000000000001,0.5255,0.5255,0.52675,0.5345,0.5265,0.527,0.53725,0.43920000000000003,0.4383333333333333,0.3825,0.424
482,0.48874999999999996,0.5252500000000001,0.534,0.53625,0.5507500000000001,0.5545,0.54,0.49475,0.5072000000000001,0.52125,0.52025,0.522,0.52925,0.5205,0.5222500000000001,0.5327500000000001,0.43339999999999995,0.434,0.379,0.421
483,0.4845,0.522,0.53125,0.5327500000000001,0.54725,0.5522500000000001,0.537,0.492,0.5038,0.5189999999999999,0.5175000000000001,0.5185,0.5255000000000001,0.5175000000000001,0.52,0.529,0.4306,0.4306666666666667,0.3765,0.419
484,0.4855,0.523,0.5322500000000001,0.5342500000000001,0.54925,0.55425,0.5387500000000001,0.494,0.5064,0.521,0.5185,0.52025,0.52675,0.51925,0.52125,0.53,0.4326,0.43133333333333335,0.378,0.42
485,0.49050000000000005,0.527,0.535,0.53925,0.553,0.5565000000000001,0.54175,0.49624999999999997,0.5094000000000001,0.5235000000000001,0.5212500000000001,0.5245,0.53175,0.5237499999999999,0.523,0.5335,0.43679999999999997,0.4346666666666667,0.381,0.424
486,0.49124999999999996,0.5277499999999999,0.53575,0.53975,0.5535000000000001,0.557,0.541,0.495,0.5088,0.5217499999999999,0.52125,0.52425,0.5315000000000001,0.5235000000000001,0.52275,0.534,0.43620000000000003,0.43533333333333335,0.381,0.423
487,0.4885,0.52625,0.534,0.53725,0.5505,0.5557500000000001,0.5392500000000001,0.49275,0.5058,0.52025,0.5195000000000001,0.5225,0.52925,0.52075,0.5205,0.53175,0.43439999999999995,0.43333333333333335,0.37925,0.421
488,0.48824999999999996,0.52575,0.53325,0.53725,0.5505,0.5555000000000001,0.5397500000000001,0.49275,0.5062,0.52025,0.51925,0.52175,0.52925,0.5205,0.5205000000000001,0.53175,0.4338,0.43333333333333335,0.37875000000000003,0.421
489,0.48824999999999996,0.52525,0.53325,0.53725,0.5507500000000001,0.5555000000000001,0.539,0.4925,0.506,0.52,0.51875,0.52175,0.52925,0.5205,0.52025,0.53175,0.4338,0.43333333333333335,0.379,0.42
490,0.4855,0.524,0.53075,0.534,0.54825,0.5515000000000001,0.5365,0.4895,0.5036,0.5175000000000001,0.5155,0.5189999999999999,0.5262500000000001,0.5175,0.518,0.5295000000000001,0.4306,0.431,0.377,0.418
491,0.48224999999999996,0.52025,0.5277499999999999,0.531,0.5455000000000001,0.54925,0.534,0.487,0.5004,0.51525,0.51275,0.5155000000000001,0.52225,0.51525,0.516,0.5262500000000001,0.4276,0.4283333333333333,0.3755,0.416
492,0.483,0.52075,0.5277499999999999,0.5315,0.5457500000000001,0.55,0.5347500000000001,0.48775,0.5012,0.51525,0.513,0.51575,0.52275,0.51675,0.5165,0.52625,0.42780000000000007,0.428,0.3755,0.416
