wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
268,0.007,0.630666667,0.7565,1.04675,1.13225,1.193,1.20325,1.24775,1.2875,1.322,1.3555,1.37875,1.40175,1.57575,1.6395,1.7445,1.781,1.79875,1.8085,1.84825,1.78425
269,0.007,0.627666667,0.753,1.04475,1.129,1.18925,1.19875,1.24375,1.283,1.317,1.35025,1.374,1.39675,1.56425,1.62375,1.7235,1.76,1.775,1.783,1.82125,1.7605
270,0.007,0.623,0.747,1.04,1.12475,1.1845,1.1945,1.23875,1.2785,1.31225,1.34425,1.368,1.39025,1.55175,1.6085,1.70375,1.739,1.751,1.75725,1.795,1.73775
271,0.008,0.617,0.74025,1.034,1.11925,1.17825,1.18825,1.23275,1.27275,1.3055,1.33725,1.362,1.383,1.53925,1.5935,1.685,1.71925,1.72875,1.73425,1.769,1.71475
272,0.008,0.613333333,0.73675,1.03175,1.1165,1.17625,1.18725,1.23075,1.27075,1.3035,1.33575,1.36,1.3815,1.53125,1.58275,1.67175,1.70425,1.71275,1.71675,1.74775,1.695
273,0.008,0.613666667,0.7375,1.03375,1.1175,1.1775,1.1885,1.23125,1.2725,1.3055,1.33875,1.3615,1.3835,1.53,1.57825,1.665,1.69675,1.70325,1.70475,1.73675,1.68225
274,0.008,0.615,0.7395,1.036,1.12075,1.1795,1.1915,1.2335,1.274,1.3075,1.3415,1.3635,1.3855,1.52925,1.57425,1.658,1.68875,1.69575,1.6945,1.72925,1.67325
275,0.008,0.615333333,0.73925,1.036,1.12125,1.1795,1.1905,1.23425,1.275,1.30775,1.34175,1.364,1.3855,1.527,1.5685,1.64875,1.6795,1.684,1.6825,1.717,1.66325
276,0.008,0.612333333,0.73525,1.03475,1.12,1.17825,1.18925,1.2335,1.2745,1.3075,1.34075,1.36325,1.385,1.52075,1.5605,1.638,1.6685,1.67175,1.66975,1.701,1.64925
277,0.008,0.610333333,0.73275,1.034,1.11975,1.17775,1.18925,1.23275,1.274,1.307,1.34025,1.363,1.38475,1.516,1.555,1.631,1.6605,1.66175,1.6585,1.6895,1.63825
278,0.008,0.609333333,0.73125,1.03375,1.12,1.179,1.18925,1.233,1.2755,1.30775,1.34175,1.36375,1.38575,1.515,1.55275,1.6265,1.6565,1.655,1.6515,1.68125,1.6315
279,0.008,0.608666667,0.73,1.0345,1.12075,1.17925,1.1895,1.2335,1.27575,1.308,1.3435,1.3655,1.38625,1.514,1.5505,1.6215,1.652,1.6495,1.6445,1.67325,1.62525
280,0.008,0.607333333,0.7285,1.03425,1.12125,1.17925,1.18975,1.2335,1.27575,1.30825,1.3435,1.36625,1.3865,1.51375,1.546,1.61575,1.64675,1.6435,1.6385,1.665,1.618
281,0.008,0.605,0.7235,1.033,1.12,1.17925,1.1895,1.2335,1.27525,1.3085,1.34325,1.36675,1.3875,1.51,1.54325,1.6115,1.639,1.63475,1.62825,1.65475,1.60825
282,0.008,0.603,0.72025,1.03225,1.12075,1.179,1.18925,1.234,1.27575,1.3095,1.34375,1.369,1.3885,1.50875,1.542,1.60875,1.635,1.63075,1.62325,1.649,1.60225
283,0.009,0.603,0.719,1.03225,1.12175,1.18025,1.191,1.235,1.27875,1.3125,1.34775,1.372,1.393,1.509,1.54175,1.60875,1.6345,1.63025,1.6225,1.6485,1.6
284,0.009,0.602666667,0.71925,1.03325,1.1235,1.18175,1.19425,1.23725,1.282,1.31525,1.3495,1.37425,1.398,1.51175,1.542,1.6085,1.6345,1.62875,1.62025,1.64725,1.5995
285,0.009,0.601,0.7185,1.034,1.124,1.18225,1.19475,1.2385,1.28425,1.31775,1.35125,1.37475,1.40025,1.51225,1.5405,1.60575,1.63225,1.62575,1.61775,1.6435,1.597
286,0.009,0.599,0.717,1.03375,1.12375,1.18325,1.195,1.2395,1.2855,1.3195,1.354,1.3765,1.40175,1.51075,1.53925,1.60325,1.631,1.623,1.61575,1.6385,1.59225
287,0.009,0.598666667,0.71625,1.03525,1.12475,1.1865,1.197,1.243,1.28775,1.32375,1.359,1.38125,1.40475,1.51125,1.539,1.6035,1.63075,1.6225,1.6145,1.6375,1.59125
288,0.009,0.599,0.71575,1.037,1.1285,1.18825,1.20075,1.24775,1.292,1.32775,1.363,1.38575,1.40925,1.51525,1.54,1.604,1.63175,1.62125,1.6145,1.63725,1.59075
289,0.009,0.597666667,0.71475,1.0365,1.12875,1.1895,1.20125,1.24875,1.29225,1.329,1.36325,1.38725,1.41175,1.51525,1.53975,1.60275,1.631,1.618,1.612,1.6355,1.5895
290,0.009,0.596,0.71075,1.03525,1.12775,1.18925,1.2005,1.24875,1.29275,1.32875,1.36275,1.3875,1.411,1.51525,1.5375,1.599,1.625,1.61325,1.60625,1.63,1.585
291,0.009,0.593,0.70825,1.03525,1.12775,1.18975,1.20175,1.24875,1.29325,1.3305,1.36475,1.391,1.4115,1.515,1.5375,1.59825,1.624,1.612,1.605,1.62725,1.58325
292,0.009,0.592666667,0.70825,1.0355,1.1305,1.194,1.203,1.25075,1.29525,1.33475,1.369,1.39375,1.4145,1.515,1.539,1.599,1.6245,1.61275,1.6045,1.627,1.58325
293,0.009,0.592333333,0.708,1.03725,1.13075,1.194,1.2045,1.25175,1.296,1.3355,1.37075,1.39525,1.41725,1.5155,1.539,1.59775,1.624,1.61225,1.6035,1.627,1.58325
294,0.009,0.591,0.70475,1.0365,1.1305,1.1935,1.2045,1.251,1.296,1.334,1.37,1.3945,1.417,1.51375,1.5365,1.59375,1.62075,1.6075,1.59925,1.62125,1.57975
295,0.009,0.587,0.70025,1.035,1.13025,1.19325,1.204,1.25025,1.296,1.3335,1.37,1.3945,1.417,1.5125,1.5345,1.59125,1.619,1.60325,1.59675,1.61825,1.57775
296,0.009,0.586333333,0.6975,1.0345,1.13,1.193,1.20425,1.25025,1.296,1.3335,1.3705,1.3945,1.4165,1.511,1.53075,1.59,1.61475,1.599,1.595,1.61525,1.576
297,0.008,0.586,0.69625,1.0345,1.12975,1.19275,1.20425,1.251,1.29675,1.3345,1.3705,1.39475,1.4165,1.51025,1.5305,1.588,1.61125,1.5985,1.5925,1.614,1.57575
298,0.008,0.586,0.69575,1.035,1.132,1.194,1.2055,1.251,1.2975,1.33525,1.37075,1.396,1.418,1.51025,1.5305,1.588,1.6115,1.59775,1.59175,1.6135,1.57425
299,0.008,0.586333333,0.6965,1.0365,1.1335,1.197,1.20625,1.25275,1.3,1.33875,1.37325,1.3985,1.41925,1.5115,1.53,1.5875,1.61175,1.599,1.59125,1.6135,1.57425
300,0.008,0.585666667,0.697,1.038,1.13375,1.197,1.207,1.25375,1.2995,1.33875,1.3745,1.398,1.42025,1.51075,1.52925,1.584,1.61,1.596,1.5875,1.61025,1.57225
301,0.008,0.585666667,0.6965,1.0385,1.13225,1.1955,1.20525,1.2535,1.2985,1.33725,1.37375,1.3975,1.419,1.50725,1.5225,1.579,1.60425,1.5895,1.5785,1.60325,1.56725
302,0.008,0.585,0.6935,1.03775,1.1305,1.19375,1.2045,1.2505,1.29725,1.335,1.37275,1.396,1.4175,1.50275,1.5175,1.572,1.59675,1.58375,1.5745,1.59725,1.563
303,0.008,0.584,0.69225,1.0375,1.13075,1.19375,1.20275,1.2495,1.2955,1.33325,1.3705,1.39325,1.41525,1.4965,1.514,1.56775,1.59225,1.57875,1.57075,1.592,1.55925
304,0.008,0.582333333,0.691,1.03675,1.1275,1.192,1.19975,1.24675,1.29075,1.32975,1.3645,1.388,1.41225,1.491,1.5095,1.5605,1.584,1.5725,1.56175,1.585,1.554
305,0.009,0.579666667,0.687,1.032,1.12525,1.18525,1.19475,1.24025,1.2855,1.32375,1.358,1.3815,1.4035,1.48375,1.499,1.5515,1.57425,1.5625,1.5525,1.575,1.54625
306,0.009,0.576333333,0.68325,1.02675,1.1195,1.18,1.1885,1.23325,1.279,1.31625,1.351,1.37675,1.39575,1.47475,1.48825,1.541,1.565,1.5515,1.5425,1.566,1.53825
307,0.009,0.574666667,0.67675,1.02175,1.11425,1.1735,1.18175,1.2265,1.2715,1.30825,1.34175,1.368,1.387,1.46475,1.47825,1.529,1.55325,1.541,1.5315,1.55475,1.52975
308,0.009,0.570333333,0.67475,1.0175,1.10825,1.1685,1.17575,1.22025,1.265,1.2995,1.33425,1.3585,1.378,1.45325,1.4675,1.51725,1.5415,1.52875,1.521,1.54425,1.52075
309,0.009,0.569,0.673,1.01575,1.10575,1.166,1.17225,1.21525,1.25925,1.29375,1.328,1.3525,1.3715,1.44475,1.45875,1.51,1.5335,1.51975,1.5125,1.5355,1.51425
310,0.009,0.568666667,0.672,1.015,1.10475,1.16325,1.16925,1.211,1.254,1.29125,1.3235,1.3475,1.36625,1.43775,1.45125,1.50325,1.52525,1.51175,1.50325,1.52775,1.508
311,0.008,0.568333333,0.6715,1.01375,1.102,1.159,1.166,1.2065,1.24875,1.2865,1.31775,1.34075,1.361,1.43025,1.443,1.494,1.51675,1.5025,1.4945,1.5195,1.5
312,0.008,0.568,0.67,1.011,1.098,1.15525,1.1595,1.2,1.24325,1.27925,1.311,1.33425,1.35225,1.42125,1.43325,1.48325,1.50775,1.49225,1.4845,1.51025,1.49225
313,0.008,0.564666667,0.6655,1.0055,1.0915,1.148,1.15125,1.19175,1.23375,1.26875,1.30075,1.3235,1.34125,1.409,1.42,1.46975,1.493,1.47875,1.47075,1.49625,1.48025
314,0.008,0.563,0.66225,1.001,1.086,1.141,1.14425,1.18375,1.22575,1.259,1.2905,1.3135,1.33075,1.39625,1.40725,1.457,1.479,1.4655,1.45725,1.48225,1.46825
315,0.009,0.564666667,0.66425,1.0015,1.0855,1.1405,1.1425,1.181,1.2205,1.2555,1.287,1.3095,1.32525,1.389,1.3995,1.449,1.47275,1.458,1.45,1.47575,1.4625
316,0.009,0.565666667,0.66475,1.0025,1.085,1.13925,1.13825,1.1775,1.2175,1.25175,1.28125,1.303,1.31875,1.383,1.391,1.44025,1.46425,1.44875,1.44175,1.46975,1.4545
