S6 Preheat,,
S6 Preheat 1,"Date : 15/07/2021, 08:47:57",
Wavelength (nm),ABS,%T
791,0.342,45.5
792,0.342,45.5
793,0.342,45.5
794,0.341,45.6
795,0.341,45.6
796,0.341,45.6
797,0.341,45.6
798,0.34,45.7
799,0.34,45.7
800,0.339,45.9
801,0.336,46.1
802,0.335,46.2
803,0.334,46.3
804,0.333,46.4
805,0.332,46.5
806,0.331,46.6
807,0.33,46.8
808,0.329,46.9
809,0.329,46.9
810,0.328,47
811,0.326,47.2
812,0.326,47.3
813,0.325,47.3
814,0.325,47.3
815,0.324,47.4
816,0.322,47.6
817,0.321,47.7
818,0.32,47.9
819,0.319,48
820,0.316,48.3
821,0.315,48.4
822,0.31,48.9
823,0.309,49.1
824,0.316,48.4
825,0.316,48.3
826,0.316,48.3
827,0.315,48.4
828,0.315,48.4
829,0.314,48.5
830,0.314,48.5
831,0.314,48.5
832,0.314,48.6
833,0.31,49
834,0.308,49.3
835,0.307,49.3
836,0.309,49.1
837,0.309,49.1
838,0.309,49
839,0.308,49.1
840,0.309,49.1
841,0.308,49.2
842,0.307,49.3
843,0.307,49.3
844,0.307,49.3
845,0.307,49.3
846,0.307,49.3
847,0.307,49.3
848,0.304,49.7
849,0.304,49.6
850,0.304,49.6
851,0.305,49.6
852,0.305,49.6
853,0.303,49.8
854,0.303,49.8
855,0.303,49.8
856,0.302,49.9
857,0.298,50.4
858,0.298,50.3
859,0.299,50.2
860,0.299,50.2
861,0.299,50.3
862,0.298,50.3
863,0.3,50.1
864,0.3,50.1
865,0.299,50.3
866,0.299,50.2
867,0.298,50.4
868,0.298,50.4
869,0.295,50.6
870,0.295,50.7
871,0.295,50.7
872,0.295,50.6
873,0.295,50.7
874,0.295,50.7
875,0.294,50.8
876,0.293,50.9
877,0.293,50.9
878,0.293,50.9
879,0.293,51
880,0.292,51
881,0.288,51.5
882,0.287,51.6
883,0.286,51.7
884,0.287,51.7
885,0.289,51.4
886,0.289,51.3
887,0.288,51.6
888,0.288,51.6
889,0.288,51.6
890,0.288,51.6
891,0.286,51.8
892,0.285,51.8
893,0.286,51.8
894,0.286,51.8
895,0.285,51.8
896,0.285,51.9
897,0.284,52
898,0.283,52.1
899,0.285,51.9
900,0.285,51.9
901,0.284,52
902,0.284,52.1
903,0.283,52.1
904,0.283,52.1
905,0.283,52.1
906,0.28,52.5
907,0.28,52.5
908,0.281,52.4
909,0.281,52.3
910,0.281,52.3
911,0.28,52.5
912,0.28,52.4
913,0.28,52.5
