wavelength,S6 Post Heat,S6 Preheat,blank
737,50.65,52.63333333,99.6
738,50.7,52.63333333,99.5
739,50.775,52.63333333,98.9
740,50.775,52.6,98.8
741,50.8,52.63333333,98.7
742,50.875,52.66666667,98.7
743,50.925,52.66666667,98.8
744,50.975,52.66666667,98.6
745,51.025,52.66666667,98.7
746,51.05,52.7,98.7
747,51.1,52.8,98.7
748,51.225,52.83333333,98.7
749,51.25,52.83333333,98.6
750,51.275,52.83333333,98.6
751,51.25,52.9,98.6
752,51.25,53.03333333,98.6
753,51.3,53,98.4
754,51.3,53,98.4
755,51.225,53.03333333,98.5
756,51.325,53,98.5
757,51.25,53.03333333,98.4
758,51.325,52.96666667,98.3
759,51.425,52.96666667,98.2
760,51.425,53,98.2
761,51.475,53.06666667,98.2
762,51.55,53.26666667,98.3
763,51.95,53.5,98.4
764,52.075,53.66666667,98.4
765,52,53.6,98.4
766,51.9,53.53333333,98.4
767,51.85,53.53333333,98.5
768,51.875,53.43333333,98.2
769,51.825,53.43333333,98.4
770,51.775,53.43333333,98.4
771,51.8,53.46666667,98.5
772,51.85,53.5,98.7
773,51.875,53.53333333,98.7
774,51.925,53.53333333,98.6
775,51.9,53.56666667,98.6
776,52.025,53.5,98.3
777,52.025,53.53333333,98.2
778,52.075,53.53333333,98.2
779,51.975,53.6,98.6
780,52.075,53.63333333,98.8
781,52.1,53.7,98.8
782,52.1,53.7,98.6
783,52.05,53.8,98.7
784,52.15,53.8,98.7
785,52.2,53.86666667,98.8
786,52.4,53.9,98.8
787,52.5,54.13333333,98.8
788,52.575,54.23333333,98.8
789,52.65,54.23333333,98.6
790,52.675,54.36666667,98.4
791,52.675,54.36666667,98.4
792,52.675,54.4,98.4
793,52.625,54.36666667,98.4
794,52.625,54.36666667,98.4
795,52.625,54.33333333,98.4
796,52.625,54.3,98.4
797,52.65,54.3,98.4
798,52.65,54.3,98.4
799,52.7,54.36666667,98.6
800,52.825,54.46666667,98.6
801,53,54.53333333,98.6
802,53.175,54.7,98.7
803,53.325,54.83333333,98.7
804,53.6,55,98.7
805,53.625,55.06666667,98.7
806,53.7,55.13333333,98.7
807,53.775,55.23333333,98.7
808,53.875,55.33333333,98.7
809,53.925,55.3,98.7
810,54,55.33333333,98.7
811,54.025,55.36666667,98.7
812,54.15,55.5,99
813,54.175,55.46666667,98.9
814,54.15,55.43333333,98.8
815,54.15,55.43333333,98.7
816,54.2,55.5,98.5
817,54.275,55.53333333,98.7
818,54.275,55.56666667,98.7
819,54.25,55.7,98.7
820,54.5,55.73333333,98.7
821,55.125,56.36666667,98.7
822,56.15,57.16666667,98.8
823,56.75,57.63333333,98.8
824,56.5,57.33333333,99
825,55.325,56.96666667,99
826,54.85,56.5,99.1
827,54.775,56.26666667,98.9
828,54.825,56.36666667,98.9
829,54.775,56.13333333,98.9
830,54.65,56.13333333,99
831,54.425,56,99
832,54.45,55.9,98.7
833,54.775,56.26666667,98.7
834,55.425,56.66666667,98.8
835,55.5,56.7,98.8
836,55.125,56.6,98.9
837,54.85,56.36666667,98.9
838,54.8,56.3,98.8
839,54.675,56.3,98.8
840,54.725,56.33333333,98.8
841,54.975,56.26666667,98.8
842,54.975,56.33333333,98.8
843,54.975,56.3,98.7
844,55.075,56.3,98.8
845,55.125,56.2,98.4
846,55.05,56.26666667,98.4
847,54.95,56.26666667,98.6
848,55,56.26666667,98.5
849,54.95,56.46666667,98.5
850,55.05,56.5,98.5
851,55.15,56.43333333,98.5
852,55.175,56.66666667,98.8
853,55.275,56.6,98.9
854,55.325,56.6,99.2
855,55.4,56.53333333,99.1
856,55.475,56.63333333,99.1
857,55.425,56.66666667,99.2
858,55.35,56.56666667,99.2
859,55.45,56.56666667,99.1
860,55.45,56.66666667,99.1
861,55.7,56.53333333,98.7
862,55.675,56.5,98.5
863,55.625,56.7,98.5
864,55.7,56.76666667,98.5
865,55.675,56.83333333,98.7
866,55.7,57,99.1
867,55.725,57.03333333,99.2
868,55.675,57.1,99
869,55.7,57.16666667,98.6
870,55.7,57.16666667,98.6
871,55.725,57.33333333,99.1
872,55.775,57.26666667,99.1
873,55.775,57.26666667,99
874,55.975,57.36666667,99.1
875,56.175,57.33333333,98.8
876,56.2,57.4,98.9
877,56.175,57.5,99
878,56.325,57.56666667,99
879,56.425,57.63333333,98.9
880,56.775,58,99.2
881,57.6,58.4,99.4
882,57.7,59.06666667,99.4
883,57.475,58.8,99.4
884,57.425,58.63333333,99.2
885,57.35,58.56666667,99.3
886,56.35,58.16666667,99.2
887,56.05,57.96666667,99.1
888,56.125,57.9,99.1
889,56.45,57.93333333,99.2
890,56.45,57.96666667,99.3
891,56.475,57.96666667,99.3
892,56.625,57.96666667,99.3
893,56.85,58,99.2
894,56.975,58.1,99.2
895,57.25,58.33333333,99.2
896,57.25,58.5,99.3
897,57.05,58.6,99.4
898,57.025,58.6,99.4
899,56.975,58.36666667,99.3
900,56.95,58.23333333,99.2
901,56.925,58.16666667,99.2
902,56.925,58.16666667,99.2
903,57.075,58.23333333,99.2
904,57.475,58.56666667,99.2
905,57.725,58.63333333,99.1
906,57.675,58.56666667,99
907,57.5,58.46666667,99.1
908,57.25,58.3,99
909,57.125,57.83333333,99
910,57.075,57.96666667,99
911,57.1,58.13333333,99.1
912,57.15,58.26666667,99.1
913,57.25,58.33333333,99.1
914,57.325,58.36666667,99.1
915,57.625,58.5,99.2
916,58.025,58.66666667,99.2
917,58.225,58.9,99.4
918,58.15,58.83333333,99.3
919,57.975,58.9,99.5
920,57.55,58.5,99.7
921,57.25,58.26666667,99.6
922,57.25,58.43333333,99.6
923,57.3,58.6,99.5
924,57.3,58.6,99.4
925,57.3,58.6,99.4
926,57.425,58.6,99.3
927,57.425,58.56666667,99.1
928,57.4,58.63333333,99.2
929,57.45,58.7,99.3
930,57.45,58.7,99.2
931,57.5,58.73333333,99.2
932,57.5,58.73333333,99.2
933,57.475,58.73333333,99.2
934,57.575,58.73333333,99.2
935,57.625,58.83333333,99.3
936,57.8,58.86666667,99.4
937,57.825,58.9,99.4
938,57.925,58.9,99
939,58.05,58.9,99
940,58.025,59.03333333,99
941,58.025,59,98.9
942,58,58.93333333,98.7
943,57.95,58.93333333,98.7
944,57.95,59,98.8
945,57.975,59.03333333,98.9
