wavelength,S8 Irrad 1,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Postheat,S8 Preheat,bla
309,11.040000000000001,3.6,3.5749999999999997,3.2250000000000005,3.2750000000000004,3.375,3.7250000000000005,8.65,8.15,7.1499999999999995,5.925,4.625,4.14,3.55,3.4,25.4,24.999999999999996,97.8
310,11.059999999999999,3.675,3.6500000000000004,3.2750000000000004,3.3249999999999997,3.45,3.7750000000000004,8.725,8.2,7.2,5.975,4.7,4.18,3.6,3.475,25.474999999999998,25.025000000000002,98.1
311,11.1,3.7750000000000004,3.7250000000000005,3.35,3.375,3.5,3.85,8.75,8.25,7.25,6.050000000000001,4.775,4.279999999999999,3.675,3.525,25.549999999999997,25.05,98.2
312,11.139999999999999,3.85,3.8000000000000003,3.425,3.45,3.5749999999999997,3.925,8.85,8.35,7.35,6.125,4.875,4.38,3.7750000000000004,3.625,25.575,25.174999999999997,98.2
313,11.260000000000002,3.95,3.925,3.525,3.55,3.675,4.0,8.950000000000001,8.475,7.5,6.2250000000000005,5.0,4.4799999999999995,3.875,3.75,25.75,25.375,98.3
314,11.36,4.074999999999999,4.05,3.625,3.675,3.8000000000000003,4.1499999999999995,9.125,8.65,7.6499999999999995,6.4,5.125,4.659999999999999,3.975,3.875,26.049999999999997,25.674999999999997,98.3
315,11.4,4.2,4.1499999999999995,3.675,3.75,3.875,4.2,9.125,8.725,7.75,6.5,5.25,4.76,4.074999999999999,3.975,26.049999999999997,25.65,98.3
316,11.419999999999998,4.275,4.2250000000000005,3.75,3.7750000000000004,3.9,4.300000000000001,9.15,8.75,7.800000000000001,6.525,5.325,4.859999999999999,4.175,4.05,25.875,25.55,98.3
317,11.540000000000001,4.425000000000001,4.324999999999999,3.875,3.9,4.0,4.4,9.274999999999999,8.925,7.9,6.675,5.475,5.0,4.35,4.175,25.974999999999998,25.599999999999998,98.4
318,11.659999999999998,4.574999999999999,4.5,4.025,4.05,4.175,4.55,9.475000000000001,9.1,8.125,6.875,5.675,5.18,4.475,4.324999999999999,26.175,25.85,98.4
319,11.760000000000002,4.7250000000000005,4.6499999999999995,4.125,4.1499999999999995,4.300000000000001,4.7,9.625,9.225,8.325,7.025,5.824999999999999,5.340000000000001,4.625,4.475,26.35,25.999999999999996,98.4
320,11.82,4.85,4.800000000000001,4.25,4.275,4.4,4.800000000000001,9.725,9.35,8.45,7.125,6.0,5.5,4.775,4.625,26.375,26.05,98.2
321,12.02,5.05,4.975,4.4,4.45,4.525,4.975,9.925,9.55,8.649999999999999,7.35,6.175,5.720000000000001,4.975,4.824999999999999,26.549999999999997,26.325000000000003,98.1
322,12.260000000000002,5.300000000000001,5.2,4.6,4.6499999999999995,4.800000000000001,5.2,10.225,9.825,8.925,7.625,6.475,5.9799999999999995,5.175,5.05,27.025,26.875,98.1
323,12.419999999999998,5.550000000000001,5.4,4.800000000000001,4.800000000000001,4.925,5.375,10.425,10.05,9.175,7.85,6.7,6.220000000000001,5.375,5.25,27.400000000000002,27.15,98.2
324,12.459999999999999,5.675,5.550000000000001,4.9,4.9,5.075,5.475,10.45,10.15,9.325,7.949999999999999,6.85,6.4,5.5,5.4,27.400000000000002,27.15,98.2
325,12.459999999999999,5.800000000000001,5.7,5.0,5.0,5.2,5.6,10.5,10.299999999999999,9.425,8.05,7.025,6.5,5.675,5.550000000000001,27.225,27.05,98.2
326,12.52,5.975,5.824999999999999,5.1499999999999995,5.1499999999999995,5.300000000000001,5.7250000000000005,10.6,10.425,9.55,8.2,7.175,6.7,5.824999999999999,5.7,27.225,27.025000000000002,98.1
327,12.639999999999999,6.175,6.025,5.300000000000001,5.300000000000001,5.425,5.9,10.775,10.6,9.75,8.4,7.425,6.94,6.025,5.9,27.2,27.025000000000002,98.1
328,12.819999999999999,6.4,6.300000000000001,5.5,5.5,5.625,6.1,10.975000000000001,10.799999999999999,9.975,8.625,7.65,7.18,6.275,6.124999999999999,27.325000000000003,27.25,98.2
329,13.040000000000001,6.6499999999999995,6.5,5.7,5.7,5.824999999999999,6.300000000000001,11.200000000000001,11.024999999999999,10.25,8.85,7.949999999999999,7.459999999999999,6.5,6.4,27.55,27.525000000000002,98.2
330,13.219999999999999,6.9,6.75,5.9,5.9,6.025,6.525,11.45,11.275,10.55,9.125,8.2,7.760000000000001,6.775,6.6499999999999995,27.85,27.825000000000003,98.2
331,13.440000000000001,7.2,7.0,6.125,6.1,6.25,6.75,11.700000000000001,11.524999999999999,10.825,9.425,8.475,8.059999999999999,7.025,6.9,28.125,28.05,98.2
332,13.580000000000002,7.4,7.2250000000000005,6.300000000000001,6.300000000000001,6.449999999999999,6.949999999999999,11.9,11.75,11.05,9.625,8.75,8.3,7.2250000000000005,7.1499999999999995,28.275,28.175,98.2
