wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
247,98.9,11.23333333,8.325,4.05,1.05,3.125,2.55,2.3,1.95,1.675,1.475,1.275,1.15,0.3,0.2,0.1,0.1,0.1,0.1,0,0.3
248,99,11.6,8.55,4.225,1.15,3.3,2.7,2.5,2.075,1.825,1.6,1.375,1.275,0.375,0.2,0.1,0.1,0.1,0.1,0,0.3
249,99.1,11.86666667,8.75,4.4,1.225,3.45,2.825,2.625,2.25,1.95,1.7,1.5,1.375,0.4,0.25,0.2,0.1,0.1,0.1,0.1,0.3
250,99.1,12.33333333,9.125,4.625,1.35,3.7,3.025,2.8,2.4,2.1,1.85,1.65,1.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.3
251,99,13.1,9.625,4.9,1.525,3.925,3.25,3.05,2.6,2.325,2.075,1.825,1.675,0.575,0.375,0.2,0.2,0.2,0.1,0.1,0.3
252,98.8,13.93333333,10.225,5.225,1.7,4.225,3.525,3.3,2.85,2.55,2.275,2.025,1.875,0.675,0.4,0.3,0.2,0.2,0.2,0.1,0.3
253,98.8,14.7,10.825,5.55,1.875,4.425,3.75,3.525,3.05,2.75,2.475,2.225,2.05,0.775,0.5,0.3,0.3,0.2,0.2,0.15,0.4
254,98.8,15.4,11.325,5.825,2.025,4.7,4,3.75,3.275,2.95,2.675,2.375,2.2,0.875,0.6,0.4,0.3,0.3,0.25,0.2,0.4
255,98.8,16.13333333,11.925,6.125,2.2,5,4.225,4,3.5,3.15,2.85,2.575,2.375,1,0.7,0.45,0.4,0.3,0.3,0.2,0.4
256,98.8,17,12.525,6.45,2.375,5.225,4.5,4.25,3.75,3.375,3.05,2.775,2.575,1.15,0.8,0.525,0.5,0.4,0.4,0.3,0.5
257,98.7,17.9,13.225,6.825,2.575,5.525,4.75,4.525,4,3.6,3.275,2.975,2.775,1.275,0.95,0.6,0.525,0.5,0.4,0.375,0.6
258,98.6,18.9,13.95,7.225,2.8,5.875,5.025,4.8,4.25,3.85,3.525,3.225,3,1.475,1.1,0.725,0.65,0.6,0.5,0.45,0.65
259,98.6,19.8,14.675,7.6,3,6.2,5.3,5.1,4.525,4.1,3.775,3.45,3.2,1.65,1.25,0.875,0.8,0.7,0.6,0.55,0.75
260,98.6,20.56666667,15.25,7.9,3.175,6.4,5.525,5.3,4.725,4.275,3.95,3.625,3.375,1.8,1.375,0.975,0.875,0.8,0.7,0.625,0.85
261,98.7,20.93333333,15.525,7.975,3.275,6.525,5.65,5.425,4.875,4.4,4.05,3.7,3.475,1.9,1.475,1.05,0.95,0.875,0.8,0.7,0.925
262,98.8,21,15.675,8.025,3.375,6.6,5.725,5.525,4.925,4.5,4.075,3.8,3.575,1.975,1.575,1.15,1,0.95,0.9,0.8,1
263,98.8,21.26666667,15.9,8.175,3.45,6.725,5.8,5.625,5.05,4.6,4.175,3.875,3.675,2.075,1.675,1.25,1.1,1.025,0.975,0.875,1.075
264,98.7,21.73333333,16.175,8.35,3.55,6.875,5.95,5.775,5.15,4.7,4.275,3.975,3.775,2.175,1.8,1.35,1.2,1.125,1.075,0.975,1.175
265,98.7,22.26666667,16.575,8.5,3.675,7,6.1,5.9,5.3,4.825,4.45,4.125,3.9,2.325,1.925,1.475,1.3,1.25,1.2,1.1,1.3
266,98.7,22.76666667,16.975,8.7,3.8,7.2,6.225,6.075,5.45,5,4.575,4.25,4.025,2.475,2.075,1.6,1.475,1.375,1.325,1.2,1.4
267,98.5,23.16666667,17.325,8.9,3.9,7.3,6.35,6.2,5.575,5.1,4.675,4.35,4.125,2.575,2.2,1.7,1.6,1.5,1.45,1.3,1.525
268,98.5,23.43333333,17.525,9,3.975,7.375,6.4,6.25,5.65,5.15,4.775,4.425,4.175,2.65,2.3,1.8,1.675,1.6,1.55,1.4,1.65
269,98.5,23.56666667,17.675,9.025,4,7.45,6.475,6.3,5.7,5.2,4.825,4.45,4.225,2.75,2.375,1.9,1.7,1.675,1.65,1.5,1.725
