wavelength,blank,S6 Preheat,S6 Irrad 9,S6 Post irrad Day 1,S6 Post Irrad Day 3,S6 Post Irrad Day 5
613,98,45.9,29.075,34.08571429,36,38.2
614,98,46,29.075,34.11428571,36.1,38.3
615,98.1,46.13333333,29.1,34.18571429,36.1,38.3
616,98.1,46.26666667,29.1,34.24285714,36.3,38.4
617,98.1,46.33333333,29.1,34.31428571,36.4,38.5
618,98.1,46.4,29.125,34.34285714,36.4,38.6
619,98.2,46.5,29.125,34.4,36.5,38.7
620,98.2,46.53333333,29.075,34.5,36.6,38.8
621,98.1,46.6,29.075,34.5,36.7,38.8
622,98.2,46.7,29.075,34.54285714,36.8,38.9
623,98.2,46.86666667,29.1,34.64285714,36.9,39
624,98.2,47,29.175,34.71428571,36.9,39.1
625,98.2,47.1,29.175,34.77142857,37,39.2
626,98.2,47.1,29.15,34.77142857,37.1,39.3
627,98.2,47.06666667,29.1,34.75714286,37.1,39.3
628,98.2,47,29.025,34.74285714,37.1,39.3
629,98.1,47,29,34.75714286,37.1,39.3
630,98.1,47,29,34.78571429,37.1,39.3
631,98.1,47.2,29,34.85714286,37.1,39.4
632,98.1,47.3,29,34.91428571,37.3,39.4
633,98.1,47.33333333,29,34.95714286,37.4,39.6
634,98.1,47.36666667,28.975,35,37.4,39.6
635,98.2,47.4,28.975,35,37.4,39.6
636,98.2,47.4,28.975,35,37.4,39.6
637,98.2,47.5,28.975,35.02857143,37.5,39.6
638,98.2,47.53333333,28.975,35.07142857,37.5,39.7
639,98.2,47.6,28.975,35.11428571,37.6,39.7
640,98.2,47.76666667,28.975,35.14285714,37.6,39.8
641,98.3,47.86666667,28.975,35.18571429,37.7,39.9
642,98.3,47.9,29.025,35.22857143,37.8,39.9
643,98.3,47.96666667,29.025,35.28571429,37.8,40
644,98.4,48.06666667,29.025,35.32857143,37.9,40.1
645,98.3,48.1,29.075,35.37142857,37.9,40.1
646,98.3,48.16666667,29.075,35.41428571,38,40.3
647,98.3,48.26666667,29.075,35.5,38,40.3
648,98.3,48.26666667,29.1,35.52857143,38.1,40.3
649,98.3,48.36666667,29.15,35.58571429,38.2,40.4
650,98.3,48.4,29.15,35.65714286,38.3,40.5
651,98.3,48.46666667,29.175,35.68571429,38.3,40.6
652,98.4,48.53333333,29.2,35.72857143,38.4,40.6
653,98.4,48.53333333,29.225,35.75714286,38.4,40.7
654,98.4,48.56666667,29.225,35.81428571,38.5,40.7
655,98.4,48.73333333,29.25,35.9,38.6,40.7
656,98.4,48.9,29.325,36.01428571,38.6,40.8
657,98.4,49.1,29.425,36.14285714,38.8,41
658,98.4,49.13333333,29.475,36.18571429,38.9,41.2
659,98.4,49.13333333,29.475,36.2,38.9,41.3
660,98.4,49.03333333,29.45,36.17142857,38.9,41.2
661,98.4,48.9,29.425,36.17142857,38.8,41.1
662,98.3,48.83333333,29.425,36.17142857,38.8,41
663,98.3,48.83333333,29.425,36.21428571,38.8,41
664,98.3,49,29.425,36.31428571,38.9,41
665,98.3,49,29.525,36.37142857,38.9,41.1
666,98.3,49.16666667,29.575,36.48571429,39.1,41.2
667,98.3,49.23333333,29.675,36.57142857,39.2,41.3
668,98.3,49.3,29.7,36.64285714,39.3,41.4
669,98.4,49.36666667,29.775,36.67142857,39.3,41.5
670,98.4,49.36666667,29.775,36.68571429,39.3,41.5
671,98.4,49.43333333,29.85,36.75714286,39.3,41.5
672,98.3,49.43333333,29.875,36.78571429,39.3,41.6
673,98.3,49.43333333,29.9,36.85714286,39.4,41.6
674,98.3,49.5,29.975,36.92857143,39.5,41.7
