wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
303,0.926,1.05525,1.13625,1.2260000000000002,1.2002499999999998,1.2015,1.2007500000000002,1.164,0.62525,0.593,0.01
304,0.9252500000000001,1.0545,1.1360000000000001,1.2240000000000002,1.1995,1.20075,1.1997499999999999,1.161,0.62175,0.5914999999999999,0.01
305,0.92425,1.051,1.1315,1.2192,1.1955,1.19675,1.193,1.158,0.61975,0.5887499999999999,0.009
306,0.92175,1.04725,1.1275,1.2152,1.1895,1.19,1.18825,1.152,0.61625,0.583,0.009
307,0.91725,1.0425,1.12175,1.2098,1.1820000000000002,1.1829999999999998,1.18175,1.146,0.6124999999999999,0.5792499999999999,0.009
308,0.914,1.037,1.1155000000000002,1.2032,1.17475,1.17525,1.174,1.14,0.60875,0.57575,0.009
309,0.9115,1.03275,1.1095000000000002,1.1972,1.168,1.17,1.16875,1.135,0.6054999999999999,0.5722499999999999,0.009
310,0.9097500000000001,1.0305,1.10625,1.1936,1.164,1.1665,1.1645,1.13,0.605,0.572,0.009
311,0.9077500000000001,1.028,1.1025,1.1893999999999998,1.16025,1.1624999999999999,1.159,1.125,0.604,0.57175,0.009
312,0.906,1.024,1.0975000000000001,1.1838,1.1535000000000002,1.15725,1.1535,1.119,0.60375,0.5707499999999999,0.008
313,0.9015000000000001,1.018,1.09075,1.1758,1.14525,1.1485,1.1452499999999999,1.112,0.6007499999999999,0.568,0.008
314,0.89675,1.01125,1.08175,1.1662,1.1355,1.137,1.13475,1.102,0.5965,0.5630000000000001,0.008
315,0.8952500000000001,1.00875,1.0775000000000001,1.1616,1.1295,1.1317499999999998,1.1292499999999999,1.095,0.5959999999999999,0.56325,0.008
316,0.8952500000000001,1.0079999999999998,1.07525,1.1578,1.1255000000000002,1.129,1.1255000000000002,1.09,0.59775,0.565,0.009
317,0.8935,1.0030000000000001,1.06875,1.1496,1.11775,1.12125,1.1167500000000001,1.083,0.59775,0.5642499999999999,0.009
318,0.88675,0.994,1.058,1.1374,1.10575,1.109,1.10375,1.072,0.5935,0.5585,0.009
319,0.88175,0.98725,1.0492499999999998,1.1284,1.095,1.0982500000000002,1.09375,1.062,0.5902499999999999,0.55625,0.009
320,0.879,0.98175,1.0425,1.121,1.08675,1.09,1.0865,1.052,0.5892499999999999,0.55625,0.008
321,0.8735,0.9732500000000001,1.03175,1.1088,1.07525,1.0775,1.0745,1.041,0.5862499999999999,0.55425,0.008
322,0.86425,0.9610000000000001,1.017,1.0926000000000002,1.05875,1.06075,1.0582500000000001,1.026,0.57775,0.5450000000000002,0.007
323,0.8574999999999999,0.9517499999999999,1.00625,1.0811999999999997,1.0455,1.04775,1.045,1.014,0.574,0.5410000000000001,0.008
324,0.8552500000000001,0.9495,1.00075,1.075,1.03875,1.0415,1.03775,1.006,0.5747499999999999,0.542,0.008
325,0.8555,0.94575,0.996,1.0697999999999999,1.033,1.036,1.0314999999999999,0.999,0.57675,0.5447500000000001,0.008
326,0.8545,0.9412499999999999,0.99075,1.0618,1.0262499999999999,1.0282499999999999,1.02375,0.99,0.57725,0.54525,0.008
327,0.84975,0.93475,0.98275,1.052,1.0162499999999999,1.0190000000000001,1.01375,0.981,0.5762499999999999,0.5445,0.007
328,0.84325,0.9257500000000001,0.9725,1.0402,1.00475,1.0075,1.0025,0.969,0.5734999999999999,0.54125,0.007
329,0.837,0.9167500000000001,0.962,1.0282,0.992,0.99425,0.98975,0.957,0.5695,0.5377500000000001,0.007
330,0.8292499999999999,0.9077500000000001,0.95075,1.0162,0.97875,0.9812500000000001,0.97575,0.945,0.56575,0.53325,0.007
331,0.823,0.8989999999999999,0.9392499999999999,1.0031999999999999,0.9664999999999999,0.9677499999999999,0.96275,0.933,0.56125,0.5285,0.007
332,0.8182499999999999,0.89175,0.9299999999999999,0.9938,0.95575,0.95775,0.953,0.922,0.55925,0.527,0.007
333,0.81625,0.8872500000000001,0.9235,0.9867999999999999,0.94875,0.9504999999999999,0.94575,0.914,0.56,0.527,0.008
334,0.8135,0.883,0.9175,0.9783999999999999,0.9405,0.9432499999999999,0.9382499999999999,0.907,0.56025,0.5277499999999999,0.008
335,0.809,0.876,0.9107500000000001,0.969,0.9317500000000001,0.9337500000000001,0.92825,0.897,0.55925,0.527,0.008
336,0.8027500000000001,0.86775,0.90025,0.9581999999999999,0.921,0.9225000000000001,0.91675,0.886,0.5557500000000001,0.5235,0.008
337,0.797,0.85975,0.8912500000000001,0.9481999999999999,0.9107500000000001,0.9127500000000001,0.9057499999999999,0.877,0.55325,0.521,0.008
338,0.79275,0.8535,0.8835,0.9394,0.90175,0.90375,0.897,0.868,0.55175,0.5205000000000001,0.007
339,0.788,0.8467499999999999,0.8755,0.9302000000000001,0.89175,0.89425,0.88725,0.859,0.5505,0.518,0.007
