wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
378,21.75,21.175,21.175,19.76,21.15,21.3,21.525000000000002,22.2,29.924999999999997,32.375,97.7
379,21.825000000000003,21.200000000000003,21.324999999999996,19.9,21.2,21.4,21.525000000000002,22.3,29.924999999999997,32.35,97.7
380,21.975,21.4,21.5,20.04,21.5,21.674999999999997,21.825000000000003,22.5,29.924999999999997,32.375,97.6
381,22.25,21.65,21.799999999999997,20.339999999999996,21.75,22.0,22.1,22.8,30.025000000000002,32.575,97.6
382,22.400000000000002,21.85,21.9,20.5,21.95,22.15,22.275,23.0,30.150000000000002,32.625,97.6
383,22.425,21.85,22.025,20.6,22.025000000000002,22.225,22.325000000000003,23.0,30.075,32.625,97.4
384,22.475,21.95,22.1,20.78,22.099999999999998,22.25,22.4,23.1,30.075,32.6,97.5
385,22.55,22.025,22.2,20.880000000000003,22.200000000000003,22.375,22.525000000000002,23.2,30.075,32.6,97.5
386,22.624999999999996,22.05,22.325000000000003,21.0,22.325,22.425,22.575000000000003,23.3,30.075,32.6,97.5
387,22.7,22.125,22.375,21.02,22.325,22.5,22.725,23.4,30.0,32.575,97.5
388,22.825000000000003,22.325000000000003,22.499999999999996,21.2,22.475,22.775,22.9,23.6,30.0,32.575,97.4
389,23.0,22.525000000000002,22.799999999999997,21.5,22.825,23.15,23.099999999999998,23.8,30.099999999999998,32.675,97.4
390,23.6,23.225,23.575000000000003,22.16,23.599999999999998,23.900000000000002,23.925,24.6,30.825000000000003,33.55,97.7
391,23.975,23.624999999999996,23.9,22.42,23.875,24.125,24.25,25.0,30.95,33.8,97.3
392,24.099999999999998,23.675,23.974999999999998,22.64,24.05,24.225,24.375,25.1,31.075,33.875,97.3
393,24.275,23.85,24.25,22.9,24.174999999999997,24.425,24.425,25.3,31.200000000000003,34.0,97.3
394,24.375,24.0,24.275,22.94,24.174999999999997,24.6,24.575,25.3,31.150000000000002,34.0,97.3
395,24.4,24.05,24.375,23.0,24.275,24.725,24.725,25.3,31.200000000000003,33.949999999999996,97.4
396,24.6,24.2,24.6,23.200000000000003,24.575,24.85,24.9,25.7,31.225,34.0,97.4
397,24.775,24.375,24.875,23.52,24.724999999999998,25.1,25.15,25.9,31.35,34.1,97.4
398,24.95,24.625,25.0,23.7,24.925,25.300000000000004,25.35,26.0,31.4,34.150000000000006,97.4
399,25.1,24.700000000000003,25.15,23.860000000000003,25.125,25.499999999999996,25.474999999999998,26.1,31.4,34.150000000000006,97.5
400,25.224999999999998,24.9,25.324999999999996,23.919999999999998,25.225,25.65,25.65,26.2,31.475,34.224999999999994,97.5
