wavelength,blank,S9 Preheat,S9 Postheat,S9 Postheat Day 1,S9 Irrad 1,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15
309,0.627,0.5305,0.5946,0.641,1.356,1.45675,1.4772,1.493,1.50525,1.46675,1.4605,1.45175,1.46975,1.43675,1.43825,1.4175,1.42475,1.4485,1.41125,1.3905
310,0.625,0.52925,0.5936,0.638666667,1.34925,1.448,1.4692,1.48675,1.49775,1.45925,1.453,1.4445,1.46225,1.42825,1.43025,1.40975,1.4175,1.43975,1.4045,1.3825
311,0.625,0.5285,0.5936,0.638,1.34275,1.439,1.4608,1.478,1.48975,1.45075,1.44525,1.43625,1.454,1.42,1.42175,1.40175,1.4095,1.43275,1.39625,1.37475
312,0.624,0.52675,0.5922,0.636333333,1.33475,1.42875,1.4506,1.46825,1.47975,1.441,1.4355,1.4265,1.4435,1.4105,1.41275,1.393,1.4005,1.42425,1.3875,1.3655
313,0.621,0.52375,0.5892,0.632666667,1.32475,1.417,1.4376,1.456,1.46725,1.4305,1.424,1.414,1.4315,1.39925,1.4015,1.382,1.38925,1.41325,1.37675,1.35475
314,0.617,0.51925,0.585,0.628333333,1.3115,1.40225,1.4226,1.441,1.452,1.416,1.41,1.40025,1.4185,1.385,1.3875,1.36875,1.37575,1.4005,1.3635,1.34225
315,0.616,0.51875,0.5848,0.627666667,1.30325,1.393,1.412,1.4315,1.44175,1.40625,1.4005,1.3905,1.4085,1.376,1.37775,1.35975,1.367,1.39175,1.355,1.33375
316,0.617,0.52025,0.585,0.629333333,1.29675,1.3845,1.404,1.4235,1.43375,1.39725,1.3935,1.384,1.40075,1.369,1.37,1.35175,1.36075,1.3835,1.3495,1.32725
317,0.617,0.51975,0.5852,0.628666667,1.28725,1.371,1.3904,1.41075,1.4195,1.3855,1.38275,1.37225,1.38825,1.358,1.3605,1.34075,1.3495,1.372,1.33775,1.315
318,0.612,0.51475,0.5812,0.624,1.27225,1.355,1.3734,1.393,1.404,1.37,1.367,1.35575,1.374,1.34275,1.34425,1.32725,1.3345,1.35775,1.324,1.3005
319,0.609,0.51225,0.5776,0.620333333,1.2595,1.33975,1.3586,1.379,1.3905,1.3555,1.3525,1.34175,1.35975,1.32875,1.33025,1.3135,1.32175,1.345,1.31,1.288
320,0.608,0.512,0.5774,0.62,1.249,1.32675,1.3452,1.36675,1.37725,1.343,1.34025,1.32875,1.347,1.31675,1.319,1.3015,1.31075,1.334,1.2995,1.277
321,0.604,0.509,0.575,0.616,1.2345,1.31025,1.3284,1.3505,1.36075,1.328,1.3245,1.313,1.33125,1.302,1.304,1.2865,1.296,1.319,1.2855,1.26175
322,0.596,0.50175,0.5672,0.607666667,1.21525,1.28925,1.3064,1.329,1.339,1.3075,1.304,1.29225,1.31275,1.2825,1.28425,1.26825,1.2765,1.30025,1.266,1.24325
