wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
318,0.56975,0.59625,0.6004999999999999,0.5910000000000001,0.5527500000000001,0.5756
319,0.5685,0.595,0.59775,0.589,0.5515,0.5744
320,0.56725,0.59475,0.59775,0.5883333333333333,0.5515,0.5742
321,0.5609999999999999,0.5884999999999999,0.595,0.585,0.5462500000000001,0.5696
322,0.5537500000000001,0.5812499999999999,0.5882499999999999,0.5763333333333333,0.5387500000000001,0.562
323,0.5517500000000001,0.5792499999999999,0.584,0.5716666666666667,0.5369999999999999,0.5608000000000001
324,0.5545,0.5825,0.585,0.5726666666666667,0.53925,0.5631999999999999
325,0.5565,0.5845,0.586,0.575,0.541,0.5648
326,0.55675,0.58475,0.5862499999999999,0.5763333333333333,0.54175,0.5650000000000001
327,0.556,0.58375,0.5862499999999999,0.5763333333333333,0.541,0.5644
328,0.5527500000000001,0.5812499999999999,0.584,0.5743333333333333,0.5385,0.5614000000000001
329,0.54825,0.5774999999999999,0.58,0.5706666666666665,0.5357500000000001,0.5574000000000001
330,0.5437500000000001,0.5727499999999999,0.5762499999999999,0.5656666666666667,0.5315000000000001,0.5534000000000001
331,0.54,0.5687499999999999,0.57275,0.5619999999999999,0.52825,0.5502
332,0.53925,0.5682499999999999,0.5715,0.56,0.527,0.55
333,0.54025,0.5694999999999999,0.5722499999999999,0.5603333333333335,0.528,0.5504
334,0.54,0.5700000000000001,0.5724999999999999,0.5613333333333334,0.52825,0.5502
335,0.53925,0.56775,0.57175,0.5606666666666668,0.5262500000000001,0.5492000000000001
336,0.53525,0.56475,0.569,0.5566666666666668,0.524,0.5458000000000001
337,0.5335000000000001,0.5627500000000001,0.5665,0.5540000000000002,0.5225,0.5442
338,0.53225,0.56225,0.56575,0.5536666666666666,0.52125,0.5434
339,0.5302500000000001,0.56,0.5634999999999999,0.5523333333333335,0.52,0.5414000000000001
340,0.5262500000000001,0.55625,0.5605,0.5486666666666667,0.51725,0.538
341,0.52175,0.552,0.557,0.5443333333333334,0.51325,0.5342
342,0.5185,0.5487500000000001,0.55375,0.54,0.5105000000000001,0.531
343,0.5185,0.549,0.5527500000000001,0.539,0.5105000000000001,0.5314
344,0.52125,0.55125,0.55375,0.5403333333333334,0.51325,0.5344
345,0.5235,0.5530000000000002,0.55625,0.544,0.5145,0.5364000000000001
346,0.52275,0.5527500000000001,0.5565,0.5446666666666667,0.5145,0.5356
347,0.51925,0.5495000000000001,0.55425,0.5416666666666667,0.512,0.5314
348,0.51525,0.546,0.5505,0.5380000000000001,0.5087499999999999,0.5282
349,0.513,0.54375,0.5485,0.5356666666666667,0.50675,0.5278
350,0.51,0.5407500000000001,0.5475000000000001,0.5336666666666667,0.50375,0.5244
351,0.50725,0.5385,0.544,0.5296666666666666,0.50225,0.5226
352,0.50475,0.536,0.542,0.5283333333333333,0.5015000000000001,0.522
353,0.504,0.535,0.5415000000000001,0.5266666666666667,0.50125,0.5196
354,0.50275,0.5325000000000001,0.54025,0.5263333333333334,0.49949999999999994,0.519
355,0.50175,0.532,0.539,0.5236666666666667,0.49875,0.5178
356,0.502,0.5327500000000001,0.539,0.524,0.49924999999999997,0.5204
357,0.50275,0.5327500000000001,0.5395000000000001,0.525,0.4995,0.5206
358,0.501,0.5325,0.53925,0.524,0.498,0.5176000000000001
359,0.49775,0.5305,0.538,0.5206666666666667,0.49725,0.5154
360,0.5015000000000001,0.5345,0.5392500000000001,0.5203333333333333,0.49975,0.5178
361,0.5087499999999999,0.5412500000000001,0.5417500000000001,0.529,0.50475,0.5232000000000001
