wavelength,blank,S8 Postheat,S8 Preheat
804,98.6,64.28,58.175
805,98.6,64.4,58.3
806,98.6,64.46,58.35
807,98.6,64.54,58.525
808,98.6,64.62,58.55
809,98.6,64.64,58.6
810,98.7,64.76,58.675
811,98.6,64.74,58.675
812,98.4,64.68,58.75
813,98.5,64.7,58.85
814,98.6,64.76,59.05
815,98.5,64.76,59.05
816,98.6,64.82,59.1
817,98.6,64.88,59.125
818,98.6,64.88,59.225
819,98.5,64.88,59.3
820,98.5,64.98,59.425
821,98.5,65.14,59.675
822,98.6,65.78,60.325
823,98.9,66.34,60.85
824,98.9,66.28,60.525
825,98.8,65.66,60.25
826,98.1,65.26,60.05
827,98.1,65.08,60.025
828,98.1,65.22,60.175
829,98.2,65.32,60.1
830,98.7,65.34,60.1
831,98.7,65.24,60.125
832,98.6,65.02,60.15
833,98.6,65.18,60.275
834,98.6,65.54,60.475
835,98.7,65.82,60.575
836,98.7,65.66,60.45
837,98.8,65.56,60.45
838,98.8,65.4,60.45
839,98.7,65.28,60.4
840,98.7,65.24,60.55
841,98.7,65.32,60.55
842,98.7,65.32,60.5
843,98.7,65.32,60.525
844,98.7,65.32,60.475
845,98.1,65.14,60.525
846,98.1,65.22,60.525
847,98,65.2,60.575
848,98.1,65.16,60.6
849,98.1,65.14,60.6
850,98,65.1,60.875
851,98.1,65.14,60.775
852,98.6,65.28,60.85
853,98.6,65.44,60.95
854,97.9,65.24,60.925
855,98,65.28,61.05
856,98.2,65.46,61.1
857,98.1,65.42,61.175
858,98.3,65.58,61.3
859,98.3,65.56,61.35
860,98,65.46,61.55
861,98,65.54,61.45
862,98,65.56,61.475
863,98,65.58,61.575
864,98,65.6,61.6
865,98.1,65.62,61.65
866,98.3,65.68,61.75
867,98.8,65.84,61.75
868,98.5,65.82,61.75
869,98.5,65.84,61.775
870,98.5,65.84,61.925
871,98.5,65.9,61.925
872,98.5,65.9,61.925
873,98.8,66.04,61.95
874,98.8,66.06,62.05
875,98.7,66.08,62.225
876,98.7,66.14,62.275
877,98.7,66.24,62.45
878,98.7,66.28,62.575
879,98.7,66.36,62.65
880,98.9,66.58,62.75
881,99.1,67.06,63.05
882,99.6,67.64,63.15
883,99.8,67.74,62.375
884,99.7,67.48,62.475
885,99.7,67.28,62.525
886,99.6,67.18,62.575
887,98.8,66.84,63.15
888,98.1,66.5,63.925
889,98.3,66.56,63.975
890,98.3,66.48,63.975
891,98.3,66.5,63.9
892,98.6,66.58,63.925
893,98.7,66.64,63.875
894,98.8,66.68,63.85
895,99,66.92,63.8
896,99,66.96,63.825
897,99,66.94,63.7
898,99.1,67.02,63.675
899,99,66.94,63.675
900,99,66.76,63.725
901,99,66.7,64.075
902,98.9,66.7,64.25
903,98.9,66.72,64.3
904,98.9,66.84,64.325
905,98.9,66.98,64.175
906,98.8,66.94,64.025
907,98.9,66.82,64.05
908,98.9,66.8,64.15
909,99,66.72,64.2
910,98.7,66.62,64.6
911,98.6,66.66,64.7
912,98.8,66.72,64.675
913,98.8,66.76,64.675
914,98.8,66.8,64.625
915,98.9,66.94,64.575
916,98.9,67.32,64.6
917,98.9,67.34,64.45
918,99.1,67.4,64.525
919,99.1,67.46,64.75
920,99.1,67.4,64.775
921,99.3,67.2,64.925
922,99,67.08,65.525
923,98.8,67.02,65.525
924,98.8,67,65.475
925,98.9,67.06,65.375
926,98.8,67.02,65.375
927,98.9,67.12,65.375
928,98.9,67.12,65.275
929,98.9,67.06,65.175
930,98.9,67.1,65.175
931,98.8,67.1,65.2
932,98.8,67.12,65.075
933,98.7,67.08,65
934,98.7,67.02,65
935,98.8,67.06,65.025
936,98.7,67.14,65.05
937,98.7,67.14,65.05
938,98.7,67.3,64.975
939,98.8,67.34,64.9
940,98.9,67.42,64.875
941,98.8,67.38,64.975
942,98.5,67.32,65.125
943,98.5,67.26,65.3
944,98.5,67.24,65.5
945,98.5,67.28,65.5
946,98.6,67.32,65.575
947,98.8,67.48,65.65
948,98.8,67.48,65.65
949,98.7,67.48,65.625
950,98.7,66.7,64.55
951,98.8,66.02,63.05
952,98.8,65.8,62.525
953,98.7,65.58,62.325
954,98.7,65.56,62.3
955,98.6,65.38,62.225
956,98.6,65.04,62.15
957,98.6,64.88,61.925
958,98.6,64.74,61.55
959,98.8,64.68,61.225
960,98.8,64.48,61.025
961,99,64.42,60.8
962,99,64.34,60.65
963,99,64.34,60.625
964,99.1,64.3,60.575
965,99.1,64.22,60.4
966,99,64.04,60.125
967,99,63.88,59.925
968,99,63.72,59.55
969,99,63.52,59.1
970,99.1,63.3,58.475
971,99.2,63.22,58.375
972,99.2,63.22,58.375
973,99.2,63.26,58.5
974,98.8,63.24,58.925
975,98.8,63.34,59.175
976,98.8,63.42,59.25
977,98.8,63.42,59.4
978,99.1,63.58,59.525
979,98.7,63.8,59.85
980,98.7,64.6,60.8
981,98.7,65.52,61.25
982,98.7,65.94,61.95
983,98.7,65.94,63.775
984,98.8,65.96,64.05
985,98.6,65.56,63.975
986,98.6,65.08,63.75
987,98.6,64.6,62.6
988,98.6,63.96,61.2
989,98.7,63.84,60.725
990,98.7,63.82,60.475
991,98.8,63.96,60.525
992,99,64.32,60.6
993,99.1,64.56,60.9
994,99.1,65.02,60.975
995,99.3,66.16,61.775
996,99.3,66.44,63.425
997,99.7,66.62,64.35
998,100.1,66.56,64.425
999,99.2,66.28,65.075
1000,98.9,65.72,64.75
1001,98.8,65.48,64.2
1002,98.8,65.2,63.4
1003,98.8,65.1,62.675
1004,98.7,64.94,62.625
1005,98.7,64.9,62.5
1006,99,64.96,62.475
1007,98.9,64.88,62.475
1008,98.9,64.86,62.275
1009,98.8,64.86,62.25
1010,98.9,64.98,62.275
1011,98.9,65.16,62.275
1012,98.9,65.24,62.3
1013,98.9,65.3,62.575
1014,99,65.62,62.675
