wavelength,blank,S8 Preheat,S8 Postheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 PostIrrad Day 1,S8 PostIrrad Day 2,S8 PostIrrad Day 3,S8 PostIrrad Day 4,S8 PostIrrad Day 5
284,98.1,22.35,37.96,10.76,8.3,7.775,6.825,5.65,4.075,3.46,2.9,2.725,2.825,2.725,2.475,2.5,2.55,2.775,4.4,4.485714286,4.620833333,4.716,4.7125
285,98.3,22.4,38.04,10.74,8.3,7.75,6.75,5.625,4.075,3.46,2.9,2.725,2.85,2.75,2.5,2.5,2.575,2.825,4.4,4.571428571,4.666666667,4.764,4.7875
286,98.5,22.575,38.2,10.74,8.3,7.75,6.75,5.625,4.075,3.46,2.925,2.75,2.9,2.8,2.55,2.575,2.6,2.85,4.5,4.6,4.720833333,4.816,4.8
287,98.5,22.65,38.28,10.72,8.275,7.725,6.75,5.575,4.05,3.46,2.925,2.775,2.9,2.825,2.575,2.575,2.65,2.925,4.5,4.642857143,4.745833333,4.864,4.875
288,98.4,22.65,38.26,10.66,8.2,7.725,6.7,5.55,4.05,3.46,2.925,2.775,2.9,2.825,2.575,2.6,2.65,2.925,4.6,4.685714286,4.7875,4.888,4.8875
289,98.2,22.725,38.22,10.64,8.2,7.675,6.675,5.5,4.05,3.46,2.95,2.8,2.9,2.825,2.575,2.6,2.65,2.95,4.6,4.685714286,4.825,4.908,4.9
290,98.3,22.875,38.42,10.64,8.2,7.675,6.675,5.475,4.05,3.46,2.95,2.8,2.9,2.875,2.6,2.65,2.7,2.975,4.6,4.785714286,4.866666667,4.96,4.9875
291,97.8,23.05,38.42,10.66,8.2,7.65,6.675,5.475,4.05,3.46,2.975,2.8,2.95,2.9,2.625,2.675,2.725,3,4.7,4.8,4.920833333,5.012,5
292,97.7,23.075,38.4,10.62,8.125,7.6,6.625,5.45,4.05,3.46,2.95,2.8,2.95,2.9,2.625,2.675,2.725,3.025,4.7,4.8,4.929166667,5.02,5.025
293,97.6,23.1,38.4,10.6,8.125,7.6,6.625,5.425,4.05,3.46,2.975,2.8,2.95,2.9,2.65,2.675,2.75,3.05,4.7,4.814285714,4.95,5.048,5.075
294,97.7,23.15,38.58,10.6,8.15,7.6,6.625,5.425,4.05,3.46,2.975,2.8,2.975,2.925,2.675,2.7,2.775,3.05,4.8,4.9,5.016666667,5.112,5.1
295,97.6,23.375,38.66,10.62,8.15,7.6,6.625,5.425,4.05,3.5,3,2.8,3,2.975,2.7,2.725,2.775,3.125,4.8,4.9,5.033333333,5.128,5.125
296,97.6,23.375,38.74,10.62,8.15,7.6,6.625,5.45,4.05,3.5,3,2.8,3,2.975,2.7,2.725,2.8,3.125,4.8,4.985714286,5.066666667,5.168,5.1875
297,97.8,23.55,38.86,10.66,8.125,7.6,6.6,5.425,4.05,3.56,3,2.825,3.025,2.975,2.7,2.775,2.825,3.125,4.9,4.985714286,5.1,5.196,5.1875
298,97.8,23.575,38.88,10.62,8.125,7.575,6.6,5.4,4.05,3.56,3,2.825,3.025,3,2.725,2.775,2.85,3.15,4.9,5,5.125,5.228,5.2125
299,97.7,23.55,38.84,10.6,8.125,7.525,6.6,5.375,4.05,3.56,3,2.875,3.025,3,2.725,2.8,2.875,3.175,4.9,5.028571429,5.133333333,5.252,5.225
300,97.5,23.55,38.76,10.6,8.125,7.525,6.55,5.375,4.05,3.56,3,2.9,3.05,3.025,2.75,2.8,2.875,3.2,4.9,5.085714286,5.175,5.264,5.275
301,97.5,23.575,38.82,10.6,8.125,7.575,6.55,5.4,4.075,3.56,3.1,2.9,3.1,3.1,2.8,2.825,2.9,3.225,4.9,5.1,5.229166667,5.32,5.3
302,97.5,23.6,38.88,10.62,8.15,7.6,6.575,5.425,4.1,3.64,3.1,2.9,3.125,3.1,2.825,2.875,2.975,3.275,5,5.2,5.308333333,5.4,5.3875
303,97.7,23.775,39.04,10.62,8.15,7.625,6.6,5.45,4.15,3.66,3.125,3,3.2,3.175,2.85,2.9,2.975,3.325,5.1,5.242857143,5.3625,5.452,5.4375
304,97.7,23.85,39.1,10.62,8.15,7.675,6.625,5.5,4.175,3.7,3.175,3,3.225,3.225,2.9,2.95,3.025,3.375,5.2,5.3,5.433333333,5.528,5.5125
305,97.8,24.025,39.18,10.72,8.25,7.725,6.7,5.55,4.25,3.78,3.25,3.1,3.3,3.275,2.95,3.025,3.075,3.45,5.3,5.4,5.5375,5.624,5.6125
306,97.8,24.25,39.32,10.8,8.375,7.8,6.8,5.625,4.325,3.86,3.3,3.175,3.35,3.325,3.025,3.075,3.15,3.5,5.4,5.5,5.641666667,5.724,5.725
307,97.9,24.525,39.64,10.84,8.45,7.95,6.875,5.7,4.425,3.96,3.375,3.225,3.425,3.425,3.075,3.125,3.25,3.55,5.5,5.614285714,5.754166667,5.864,5.85
308,97.8,24.775,39.78,10.98,8.575,8.05,7.025,5.8,4.55,4.04,3.475,3.325,3.525,3.5,3.175,3.225,3.325,3.65,5.7,5.785714286,5.9,6.008,5.9875
309,97.8,25,39.88,11.04,8.65,8.15,7.15,5.925,4.625,4.14,3.55,3.4,3.6,3.575,3.225,3.275,3.375,3.725,5.8,5.9,6.020833333,6.112,6.1
310,98.1,25.025,40,11.06,8.725,8.2,7.2,5.975,4.7,4.18,3.6,3.475,3.675,3.65,3.275,3.325,3.45,3.775,5.9,5.985714286,6.1,6.204,6.1875
311,98.2,25.05,40.08,11.1,8.75,8.25,7.25,6.05,4.775,4.28,3.675,3.525,3.775,3.725,3.35,3.375,3.5,3.85,6,6.085714286,6.204166667,6.308,6.2875
312,98.2,25.175,40.1,11.14,8.85,8.35,7.35,6.125,4.875,4.38,3.775,3.625,3.85,3.8,3.425,3.45,3.575,3.925,6.1,6.2,6.333333333,6.452,6.4375
313,98.3,25.375,40.26,11.26,8.95,8.475,7.5,6.225,5,4.48,3.875,3.75,3.95,3.925,3.525,3.55,3.675,4,6.2,6.385714286,6.5,6.604,6.5875
314,98.3,25.675,40.5,11.36,9.125,8.65,7.65,6.4,5.125,4.66,3.975,3.875,4.075,4.05,3.625,3.675,3.8,4.15,6.4,6.585714286,6.7125,6.812,6.8
315,98.3,25.65,40.5,11.4,9.125,8.725,7.75,6.5,5.25,4.76,4.075,3.975,4.2,4.15,3.675,3.75,3.875,4.2,6.6,6.7,6.858333333,6.968,6.9875
316,98.3,25.55,40.36,11.42,9.15,8.75,7.8,6.525,5.325,4.86,4.175,4.05,4.275,4.225,3.75,3.775,3.9,4.3,6.7,6.8,6.958333333,7.06,7.0875
317,98.4,25.6,40.46,11.54,9.275,8.925,7.9,6.675,5.475,5,4.35,4.175,4.425,4.325,3.875,3.9,4,4.4,6.8,6.971428571,7.1375,7.228,7.2125
318,98.4,25.85,40.62,11.66,9.475,9.1,8.125,6.875,5.675,5.18,4.475,4.325,4.575,4.5,4.025,4.05,4.175,4.55,7.1,7.2,7.370833333,7.48,7.4875
319,98.4,26,40.76,11.76,9.625,9.225,8.325,7.025,5.825,5.34,4.625,4.475,4.725,4.65,4.125,4.15,4.3,4.7,7.3,7.442857143,7.591666667,7.7,7.6875
320,98.2,26.05,40.74,11.82,9.725,9.35,8.45,7.125,6,5.5,4.775,4.625,4.85,4.8,4.25,4.275,4.4,4.8,7.4,7.614285714,7.783333333,7.9,7.8875
321,98.1,26.325,40.86,12.02,9.925,9.55,8.65,7.35,6.175,5.72,4.975,4.825,5.05,4.975,4.4,4.45,4.525,4.975,7.7,7.885714286,8.041666667,8.152,8.1625
322,98.1,26.875,41.24,12.26,10.225,9.825,8.925,7.625,6.475,5.98,5.175,5.05,5.3,5.2,4.6,4.65,4.8,5.2,8,8.242857143,8.408333333,8.528,8.4875
323,98.2,27.15,41.56,12.42,10.425,10.05,9.175,7.85,6.7,6.22,5.375,5.25,5.55,5.4,4.8,4.8,4.925,5.375,8.3,8.528571429,8.720833333,8.844,8.8375
324,98.2,27.15,41.56,12.46,10.45,10.15,9.325,7.95,6.85,6.4,5.5,5.4,5.675,5.55,4.9,4.9,5.075,5.475,8.5,8.685714286,8.891666667,9.016,9
325,98.2,27.05,41.42,12.46,10.5,10.3,9.425,8.05,7.025,6.5,5.675,5.55,5.8,5.7,5,5,5.2,5.6,8.7,8.885714286,9.05,9.188,9.1875
326,98.1,27.025,41.4,12.52,10.6,10.425,9.55,8.2,7.175,6.7,5.825,5.7,5.975,5.825,5.15,5.15,5.3,5.725,8.9,9.085714286,9.241666667,9.368,9.375
327,98.1,27.025,41.38,12.64,10.775,10.6,9.75,8.4,7.425,6.94,6.025,5.9,6.175,6.025,5.3,5.3,5.425,5.9,9.1,9.357142857,9.529166667,9.644,9.625
328,98.2,27.25,41.5,12.82,10.975,10.8,9.975,8.625,7.65,7.18,6.275,6.125,6.4,6.3,5.5,5.5,5.625,6.1,9.4,9.685714286,9.8375,9.956,9.9375
